Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
31	88	Dayside	2024 DEC 24 03:47:40	2024 DEC 24 04:17:12	2024 DEC 24 04:46:44	3543.40	61.25	103.02	-133.12	-70.60	13.85	70.58	16.69	10.93	1	Nominal 3SUBD 01	Science: orders #167, #169, #190, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&mroOverlap; 	
32	88	Nightside	2024 DEC 24 04:46:44	2024 DEC 24 05:16:09	2024 DEC 24 05:45:34	3529.97	-133.12	-91.84	32.57	70.58	-12.35	-70.57	163.22	22.90	1	-	-	-		
32	88	Dayside	2024 DEC 24 05:45:34	2024 DEC 24 06:15:06	2024 DEC 24 06:44:37	3543.61	32.57	74.12	-161.83	-70.57	13.95	70.54	16.91	10.92	1	-		COP row -1: 		
33	88	Nightside	2024 DEC 24 06:44:37	2024 DEC 24 07:14:02	2024 DEC 24 07:43:27	3529.73	-161.83	-120.73	3.80	70.54	-12.42	-70.48	163.02	22.88	14	-	-	-		
33	88	Dayside	2024 DEC 24 07:43:27	2024 DEC 24 08:13:00	2024 DEC 24 08:42:32	3545.04	3.80	45.24	169.38	-70.48	14.06	70.44	17.11	10.90	14	-		COP row -1: 		
34	88	Nightside	2024 DEC 24 08:42:32	2024 DEC 24 09:11:58	2024 DEC 24 09:41:24	3531.95	169.38	-149.63	-25.01	70.44	-12.53	-70.38	162.81	22.87	1	-	-	-		
34	88	Dayside	2024 DEC 24 09:41:24	2024 DEC 24 10:10:57	2024 DEC 24 10:40:30	3546.15	-25.01	16.32	140.55	-70.38	14.12	70.33	17.31	10.89	1	-		COP row -1: 		
35	88	Nightside	2024 DEC 24 10:40:30	2024 DEC 24 11:09:57	2024 DEC 24 11:39:23	3532.45	140.55	-178.56	-53.79	70.33	-12.66	-70.30	162.58	22.85	14	-	-	-		
35	88	Dayside	2024 DEC 24 11:39:23	2024 DEC 24 12:08:56	2024 DEC 24 12:38:29	3546.68	-53.79	-12.62	111.78	-70.30	14.19	70.25	17.54	10.87	14	-		COP row -1: 		
36	88	Nightside	2024 DEC 24 12:38:29	2024 DEC 24 13:07:55	2024 DEC 24 13:37:21	3531.26	111.78	152.49	-82.53	70.25	-12.75	-70.24	162.34	22.84	1	-	-	-		
36	88	Dayside	2024 DEC 24 13:37:21	2024 DEC 24 14:06:54	2024 DEC 24 14:36:28	3546.89	-82.53	-41.57	83.08	-70.24	14.30	70.22	17.79	10.86	1	-		COP row -1: 		
37	88	Nightside	2024 DEC 24 14:36:28	2024 DEC 24 15:05:52	2024 DEC 24 15:35:17	3529.28	83.08	123.55	-111.24	70.22	-12.81	-70.21	162.11	22.82	14	-	-	-		
37	88	Dayside	2024 DEC 24 15:35:17	2024 DEC 24 16:04:50	2024 DEC 24 16:34:23	3546.24	-111.24	-70.50	54.41	-70.21	14.41	70.21	18.03	10.84	14	-		COP row -1: 		
38	88	Nightside	2024 DEC 24 16:34:23	2024 DEC 24 17:03:47	2024 DEC 24 17:33:11	3528.00	54.41	94.63	-139.92	70.21	-12.86	-70.18	161.89	22.81	1	-	-	-		
38	88	Dayside	2024 DEC 24 17:33:11	2024 DEC 24 18:02:44	2024 DEC 24 18:32:16	3544.98	-139.92	-99.41	25.70	-70.18	14.48	70.17	18.24	10.83	1	-		COP row -1: 	&daysideMatch:CERAUNIUS THOLUS; 	
39	88	Nightside	2024 DEC 24 18:32:16	2024 DEC 24 19:01:40	2024 DEC 24 19:31:04	3527.80	25.70	65.74	-168.64	70.17	-12.98	-70.13	161.68	22.79	3	-	-	-		
39	88	Dayside	2024 DEC 24 19:31:04	2024 DEC 24 20:00:37	2024 DEC 24 20:30:10	3546.51	-168.64	-128.29	-3.10	-70.13	14.55	70.06	18.44	10.82	3	H2O CO 2SUBD #1	Science: orders #168, #189, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 		
40	88	Nightside	2024 DEC 24 20:30:10	2024 DEC 24 20:59:35	2024 DEC 24 21:28:59	3528.80	-3.10	36.85	162.55	70.06	-13.09	-70.02	161.47	22.78	1	-	-	-		
40	88	Dayside	2024 DEC 24 21:28:59	2024 DEC 24 21:58:33	2024 DEC 24 22:28:08	3548.43	162.55	-157.20	-31.91	-70.02	14.66	69.95	18.66	10.80	1	-		COP row -1: 		
41	88	Nightside	2024 DEC 24 22:28:08	2024 DEC 24 22:57:33	2024 DEC 24 23:26:58	3530.29	-31.91	7.92	133.72	69.95	-13.17	-69.90	161.25	22.77	14	-	-	-		
41	88	Dayside	2024 DEC 24 23:26:58	2024 DEC 24 23:56:32	2024 DEC 25 00:26:06	3548.08	133.72	173.87	-60.68	-69.90	14.79	69.88	18.89	10.79	14	-		COP row -1: 		
42	88	Nightside	2024 DEC 25 00:26:06	2024 DEC 25 00:55:32	2024 DEC 25 01:24:57	3531.49	-60.68	-21.02	104.96	69.88	-13.24	-69.84	161.02	22.75	1	-	-	-		
42	88	Dayside	2024 DEC 25 01:24:57	2024 DEC 25 01:54:31	2024 DEC 25 02:24:04	3546.28	104.96	144.93	-89.41	-69.84	14.87	69.83	19.12	10.77	1	-		COP row -1: 	&daysideMatch:ELYSIUM MONS; 	
43	88	Nightside	2024 DEC 25 02:24:04	2024 DEC 25 02:53:30	2024 DEC 25 03:22:55	3531.57	-89.41	-49.96	76.27	69.83	-13.34	-69.82	160.79	22.74	14	-	-	-		
43	88	Dayside	2024 DEC 25 03:22:55	2024 DEC 25 03:52:28	2024 DEC 25 04:22:00	3544.35	76.27	115.99	-118.11	-69.82	14.93	69.80	19.34	10.76	14	-		COP row -1: 		
44	88	Nightside	2024 DEC 25 04:22:00	2024 DEC 25 04:51:25	2024 DEC 25 05:20:50	3530.07	-118.11	-78.88	47.60	69.80	-13.43	-69.80	160.56	22.72	1	-	-	-		
