Occultation Index	Occultation Type	UTC Start Time	UTC End Time	UTC Transition Time	Duration (s)	Tangent Centre Longitude	Tangent Centre Latitude	Tangent Centre Local Time (hrs)	
660	Ingress	2018 APR 20 22:10:05	2018 APR 20 22:14:41	2018 APR 20 22:13:36	276.0	168.0	-70.9	16.5	
661	Egress	2018 APR 20 22:54:44	2018 APR 20 22:59:02	2018 APR 20 22:55:47	258.0	-38.7	78.0	3.5	
662	Ingress	2018 APR 21 00:07:55	2018 APR 21 00:12:31	2018 APR 21 00:11:26	276.0	139.4	-70.8	16.5	
663	Egress	2018 APR 21 00:52:33	2018 APR 21 00:56:52	2018 APR 21 00:53:37	259.0	-67.7	78.1	3.5	
664	Ingress	2018 APR 21 02:05:48	2018 APR 21 02:10:24	2018 APR 21 02:09:18	276.0	110.9	-70.8	16.6	
665	Egress	2018 APR 21 02:50:25	2018 APR 21 02:54:43	2018 APR 21 02:51:28	258.0	-96.6	78.2	3.5	
666	Ingress	2018 APR 21 04:03:43	2018 APR 21 04:08:19	2018 APR 21 04:07:13	276.0	82.3	-70.7	16.6	
667	Egress	2018 APR 21 04:48:18	2018 APR 21 04:52:37	2018 APR 21 04:49:22	259.0	-125.7	78.3	3.4	
668	Ingress	2018 APR 21 06:01:38	2018 APR 21 06:06:15	2018 APR 21 06:05:09	277.0	53.8	-70.7	16.6	
669	Egress	2018 APR 21 06:46:12	2018 APR 21 06:50:31	2018 APR 21 06:47:16	259.0	-154.9	78.5	3.4	
670	Ingress	2018 APR 21 07:59:34	2018 APR 21 08:04:10	2018 APR 21 08:03:05	276.0	25.1	-70.7	16.6	
671	Egress	2018 APR 21 08:44:06	2018 APR 21 08:48:26	2018 APR 21 08:45:10	260.0	175.9	78.6	3.4	
672	Ingress	2018 APR 21 09:57:25	2018 APR 21 10:02:02	2018 APR 21 10:00:57	277.0	-3.5	-70.7	16.6	
673	Egress	2018 APR 21 10:41:57	2018 APR 21 10:46:17	2018 APR 21 10:43:01	260.0	146.7	78.8	3.3	
674	Ingress	2018 APR 21 11:55:13	2018 APR 21 11:59:51	2018 APR 21 11:58:45	278.0	-32.2	-70.7	16.6	
675	Egress	2018 APR 21 12:39:45	2018 APR 21 12:44:05	2018 APR 21 12:40:49	260.0	117.5	78.9	3.3	
676	Ingress	2018 APR 21 13:53:05	2018 APR 21 13:57:42	2018 APR 21 13:56:37	277.0	-60.7	-70.7	16.6	
677	Egress	2018 APR 21 14:37:36	2018 APR 21 14:41:56	2018 APR 21 14:38:40	260.0	88.6	79.0	3.3	
678	Ingress	2018 APR 21 15:51:01	2018 APR 21 15:55:39	2018 APR 21 15:54:33	278.0	-89.2	-70.5	16.6	
679	Egress	2018 APR 21 16:35:31	2018 APR 21 16:39:51	2018 APR 21 16:36:35	260.0	59.6	79.1	3.3	
680	Ingress	2018 APR 21 17:48:57	2018 APR 21 17:53:34	2018 APR 21 17:52:29	277.0	-117.7	-70.4	16.6	
681	Egress	2018 APR 21 18:33:25	2018 APR 21 18:37:46	2018 APR 21 18:34:29	261.0	30.3	79.3	3.2	
682	Ingress	2018 APR 21 19:46:50	2018 APR 21 19:51:28	2018 APR 21 19:50:22	278.0	-146.4	-70.5	16.6	
