Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	215	Egress	2019 FEB 13 04:09:18	2019 FEB 13 04:09:57	2019 FEB 13 04:12:59	221.0	-50.9	-50.5	-47.8	60.0	61.0	65.4	7.0	17	-	-	-		
N/A	216	Ingress	2019 FEB 13 05:23:53	2019 FEB 13 05:27:13	2019 FEB 13 05:27:53	240.0	147.2	174.6	-178.2	-79.3	-81.5	-81.6	23.3	1	-	-	-		
NOMAD	216	Egress	2019 FEB 13 06:07:10	2019 FEB 13 06:07:48	2019 FEB 13 06:10:50	220.0	-79.6	-79.1	-76.5	60.1	61.1	65.4	7.0	1	BgSubTest 03	Science: orders #168, #134, #190, #121, #165, #149, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 305: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1389 ms, Binning=3		
ACS	217	Ingress	2019 FEB 13 07:21:46	2019 FEB 13 07:25:05	2019 FEB 13 07:25:45	239.0	117.8	144.2	151.4	-79.2	-81.5	-81.6	23.2	4	-	-	-	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; 	
N/A	217	Egress	2019 FEB 13 08:05:05	2019 FEB 13 08:05:43	2019 FEB 13 08:08:44	219.0	-108.2	-107.8	-105.2	60.2	61.2	65.5	7.0	4	-	-	-	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; 	
N/A	218	Ingress	2019 FEB 13 09:19:39	2019 FEB 13 09:22:58	2019 FEB 13 09:23:38	239.0	88.4	114.2	121.2	-79.1	-81.4	-81.6	23.1	4	-	-	-		
N/A	218	Egress	2019 FEB 13 10:03:01	2019 FEB 13 10:03:39	2019 FEB 13 10:06:40	219.0	-136.9	-136.4	-133.8	60.4	61.4	65.6	7.0	4	-	-	-		
NOMAD	219	Ingress	2019 FEB 13 11:17:33	2019 FEB 13 11:20:51	2019 FEB 13 11:21:31	238.0	59.5	84.6	91.6	-79.1	-81.4	-81.6	23.0	1	Dust H2O 01	Science: orders #119, #130, #145, #171, #191, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 305: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1389 ms, Binning=3		
N/A	219	Egress	2019 FEB 13 12:00:56	2019 FEB 13 12:01:34	2019 FEB 13 12:04:35	219.0	-165.4	-165.0	-162.4	60.6	61.6	65.8	7.0	1	-	-	-		
N/A	220	Ingress	2019 FEB 13 13:15:24	2019 FEB 13 13:18:41	2019 FEB 13 13:19:21	237.0	30.5	55.2	62.0	-79.1	-81.4	-81.6	23.0	1	-	-	-		
NOMAD	220	Egress	2019 FEB 13 13:58:49	2019 FEB 13 13:59:27	2019 FEB 13 14:02:27	218.0	166.0	166.4	169.0	60.8	61.8	65.9	7.0	1	Nominal Science 1xCO2 LA01; Nominal Science 1xCO2 HA01	Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136); Science: orders #168, #134, #190, #121, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 306: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1389 ms, Binning=3		
N/A	221	Ingress	2019 FEB 13 15:13:10	2019 FEB 13 15:16:27	2019 FEB 13 15:17:07	237.0	1.3	25.4	32.1	-79.0	-81.4	-81.6	22.9	4	-	-	-		
N/A	221	Egress	2019 FEB 13 15:56:38	2019 FEB 13 15:57:16	2019 FEB 13 16:00:15	217.0	137.3	137.8	140.3	61.0	61.9	66.0	7.1	4	-	-	-		
N/A	222	Ingress	2019 FEB 13 17:10:59	2019 FEB 13 17:14:16	2019 FEB 13 17:14:56	237.0	-28.0	-4.6	2.0	-78.9	-81.3	-81.6	22.8	4	-	-	-		
ACS	222	Egress	2019 FEB 13 17:54:30	2019 FEB 13 17:55:08	2019 FEB 13 17:58:07	217.0	108.7	109.1	111.6	61.0	62.0	66.0	7.1	4	-	-	-		
NOMAD	223	Ingress	2019 FEB 13 19:08:54	2019 FEB 13 19:12:09	2019 FEB 13 19:12:49	235.0	-57.1	-34.5	-28.0	-78.9	-81.3	-81.6	22.7	1	Nominal Science 1xCO2 HA01; Nominal Science 1xCO2 LA01	Science: orders #168, #134, #190, #121, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136); Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 306: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1389 ms, Binning=3		
N/A	223	Egress	2019 FEB 13 19:52:25	2019 FEB 13 19:53:03	2019 FEB 13 19:56:01	216.0	80.0	80.5	82.9	61.1	62.1	66.0	7.1	1	-	-	-		
N/A	224	Ingress	2019 FEB 13 21:06:48	2019 FEB 13 21:10:02	2019 FEB 13 21:10:42	234.0	-86.2	-64.3	-58.0	-78.9	-81.3	-81.6	22.7	4	-	-	-	&daysideMatch:CURIOSITY; &daysideMatch:INSIGHT; 	
ACS	224	Egress	2019 FEB 13 21:50:22	2019 FEB 13 21:51:00	2019 FEB 13 21:53:58	216.0	51.4	51.9	54.3	61.3	62.2	66.1	7.1	4	-	-	-	&daysideMatch:CURIOSITY; &daysideMatch:INSIGHT; 	
NOMAD	225	Ingress	2019 FEB 13 23:04:40	2019 FEB 13 23:07:55	2019 FEB 13 23:08:34	234.0	-115.4	-93.9	-87.8	-78.8	-81.2	-81.5	22.6	1	Water Ice 01	Science: orders #119, #140, #153, #170, #191, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 293: SO: Full Frame (140:205;0:1047),Tint = 45 ms,16 bit,Rhythm = 3361 ms, Binning=0		
N/A	225	Egress	2019 FEB 13 23:48:16	2019 FEB 13 23:48:53	2019 FEB 13 23:51:51	215.0	22.8	23.2	25.7	61.5	62.4	66.3	7.1	1	-	-	-		
N/A	226	Ingress	2019 FEB 14 01:02:29	2019 FEB 14 01:05:44	2019 FEB 14 01:06:23	234.0	-144.5	-123.5	-117.6	-78.7	-81.2	-81.5	22.5	4	-	-	-	&daysideMatch:NILI FOSSAE; 	
ACS	226	Egress	2019 FEB 14 01:46:08	2019 FEB 14 01:46:45	2019 FEB 14 01:49:43	215.0	-5.8	-5.3	-2.9	61.7	62.6	66.4	7.1	4	-	-	-	&daysideMatch:NILI FOSSAE; 	
N/A	227	Ingress	2019 FEB 14 03:00:18	2019 FEB 14 03:03:33	2019 FEB 14 03:04:12	234.0	-173.5	-153.0	-147.1	-78.7	-81.2	-81.5	22.5	8	-	-	-		
N/A	227	Egress	2019 FEB 14 03:43:59	2019 FEB 14 03:44:36	2019 FEB 14 03:47:34	215.0	-34.4	-34.0	-31.6	61.9	62.7	66.5	7.1	8	-	-	-		
N/A	228	Ingress	2019 FEB 14 04:58:08	2019 FEB 14 05:01:22	2019 FEB 14 05:02:01	233.0	157.4	177.4	-176.9	-78.6	-81.1	-81.4	22.4	1	-	-	-		
NOMAD	228	Egress	2019 FEB 14 05:41:50	2019 FEB 14 05:42:27	2019 FEB 14 05:45:24	214.0	-63.1	-62.6	-60.3	61.9	62.8	66.5	7.1	1	Nominal Science with CO 01	Science: orders #147, #134, #169, #121, #186, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 293: SO: Full Frame (140:205;0:1047),Tint = 45 ms,16 bit,Rhythm = 3361 ms, Binning=0		
NOMAD	229	Ingress	2019 FEB 14 06:56:00	2019 FEB 14 06:59:13	2019 FEB 14 06:59:52	232.0	128.1	147.3	152.8	-78.5	-81.0	-81.4	22.3	1	CO 01	Science: orders #167, #188, #189, #190, #191, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 294: SO: Full Frame (140:205;0:1047),Tint = 75 ms,16 bit,Rhythm = 3361 ms, Binning=0	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; &daysideMatch:MERIDIANI SULPHATES; 	
N/A	229	Egress	2019 FEB 14 07:39:44	2019 FEB 14 07:40:21	2019 FEB 14 07:43:17	213.0	-91.7	-91.3	-89.0	62.0	62.9	66.5	7.1	1	-	-	-	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; &daysideMatch:MERIDIANI SULPHATES; 	
N/A	230	Ingress	2019 FEB 14 08:53:54	2019 FEB 14 08:57:06	2019 FEB 14 08:57:45	231.0	98.9	117.3	122.7	-78.5	-81.0	-81.3	22.2	4	-	-	-		
ACS	230	Egress	2019 FEB 14 09:37:39	2019 FEB 14 09:38:16	2019 FEB 14 09:41:11	212.0	-120.3	-119.9	-117.6	62.2	63.0	66.6	7.1	4	-	-	-		
N/A	231	Ingress	2019 FEB 14 10:51:48	2019 FEB 14 10:55:00	2019 FEB 14 10:55:39	231.0	69.8	87.7	92.9	-78.4	-80.9	-81.3	22.2	8	-	-	-		
N/A	231	Egress	2019 FEB 14 11:35:35	2019 FEB 14 11:36:12	2019 FEB 14 11:39:07	212.0	-148.9	-148.5	-146.2	62.4	63.2	66.8	7.1	8	-	-	-		
N/A	232	Ingress	2019 FEB 14 12:49:40	2019 FEB 14 12:52:52	2019 FEB 14 12:53:31	231.0	40.8	58.4	63.4	-78.4	-80.9	-81.3	22.1	1	-	-	-		
