Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
ACS	39	45	Egress	2021 SEP 07 18:18:48	2021 SEP 07 18:19:33	2021 SEP 07 18:23:13	265.00	146.28	148.63	160.92	-58.33	-59.23	-62.59	9.50	14	-	-	-		
NOMAD	40	45	Ingress	2021 SEP 07 19:35:18	2021 SEP 07 19:38:39	2021 SEP 07 19:39:22	244.00	13.73	24.72	26.94	62.24	59.07	58.21	2.53	1	6SUBD Nom CO #6	Science: orders #167, #186, #187, #188, #190, #148, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
NOMAD	40	45	Egress	2021 SEP 07 20:16:45	2021 SEP 07 20:17:30	2021 SEP 07 20:21:10	265.00	117.54	119.87	132.08	-58.32	-59.21	-62.57	9.50	1	6SUBD Nominal #42	Science: orders #121, #134, #169, #129, #149, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
ACS	41	45	Ingress	2021 SEP 07 21:33:15	2021 SEP 07 21:36:35	2021 SEP 07 21:37:18	243.00	-15.33	-4.39	-2.17	62.31	59.22	58.36	2.50	3	-	-	-	&daysideMatch:AEOLIS MENSAE MFF; 	
ACS	41	45	Egress	2021 SEP 07 22:14:44	2021 SEP 07 22:15:29	2021 SEP 07 22:19:08	264.00	88.90	91.22	103.30	-58.35	-59.24	-62.56	9.51	3	-	-	-	&daysideMatch:AEOLIS MENSAE MFF; 	
NOMAD	42	45	Ingress	2021 SEP 07 23:31:11	2021 SEP 07 23:34:30	2021 SEP 07 23:35:13	242.00	-44.39	-33.49	-31.27	62.39	59.36	58.52	2.47	1	6SUBD Nominal #3	Science: orders #167, #136, #169, #121, #190, #192, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
NOMAD	42	45	Egress	2021 SEP 08 00:12:44	2021 SEP 08 00:13:29	2021 SEP 08 00:17:07	263.00	60.36	62.67	74.63	-58.41	-59.29	-62.57	9.52	1	6SUBD Nom CO #7	Science: orders #121, #135, #148, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
N/A	43	45	Ingress	2021 SEP 08 01:29:04	2021 SEP 08 01:32:24	2021 SEP 08 01:33:06	242.00	-73.49	-62.54	-60.36	62.47	59.47	58.67	2.45	14	-	-	-		
N/A	43	45	Egress	2021 SEP 08 02:10:41	2021 SEP 08 02:11:26	2021 SEP 08 02:15:04	263.00	31.88	34.19	46.11	-58.50	-59.37	-62.60	9.53	14	-	-	-		
N/A	44	45	Ingress	2021 SEP 08 03:26:55	2021 SEP 08 03:30:14	2021 SEP 08 03:30:56	241.00	-102.52	-91.62	-89.43	62.54	59.61	58.81	2.42	14	-	-	-		
N/A	44	45	Egress	2021 SEP 08 04:08:35	2021 SEP 08 04:09:19	2021 SEP 08 04:12:57	262.00	3.38	5.64	17.51	-58.57	-59.41	-62.62	9.54	14	-	-	-		
ACS	45	45	Ingress	2021 SEP 08 05:24:47	2021 SEP 08 05:28:05	2021 SEP 08 05:28:47	240.00	-131.54	-120.70	-118.50	62.60	59.74	58.95	2.39	14	-	-	-		
ACS	45	45	Egress	2021 SEP 08 06:06:28	2021 SEP 08 06:07:12	2021 SEP 08 06:10:49	261.00	-25.31	-23.07	-11.33	-58.57	-59.41	-62.59	9.54	14	-	-	-		
NOMAD	46	45	Ingress	2021 SEP 08 07:22:40	2021 SEP 08 07:25:57	2021 SEP 08 07:26:39	239.00	-160.70	-149.88	-147.68	62.69	59.90	59.13	2.36	1	6SUBD Nom CH4 #2	Science: orders #134, #136, #164, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
NOMAD	46	45	Egress	2021 SEP 08 08:04:23	2021 SEP 08 08:05:07	2021 SEP 08 08:08:43	260.00	-54.07	-51.85	-40.27	-58.55	-59.38	-62.55	9.53	1	6SUBD Nominal #11	Science: orders #121, #134, #126, #129, #169, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
