Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
140	Dayside	2021 FEB 04 00:17:05	2021 FEB 04 00:46:36	2021 FEB 04 01:16:06	3540.5	100.7	-177.7	-93.7	-74.5	1.1	74.5	4.3	11.7	1	Surface Ice 6SUBD 01	Science: orders #199, #198, #194, #193, #187, #186, with 220000us integration time (6 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 		
141	Nightside	2021 FEB 04 01:16:06	2021 FEB 04 01:45:35	2021 FEB 04 02:15:05	3539.0	-93.7	-12.6	72.0	74.5	0.3	-74.5	175.6	23.7	14	-	-	-		
141	Dayside	2021 FEB 04 02:15:05	2021 FEB 04 02:44:35	2021 FEB 04 03:14:04	3539.2	72.0	153.3	-122.3	-74.5	1.2	74.5	4.5	11.7	14	-		COP row -1: 		
142	Nightside	2021 FEB 04 03:14:04	2021 FEB 04 03:43:34	2021 FEB 04 04:13:04	3539.9	-122.3	-41.6	43.4	74.5	0.2	-74.6	175.3	23.7	1	-	-	-		
142	Dayside	2021 FEB 04 04:13:04	2021 FEB 04 04:42:33	2021 FEB 04 05:12:01	3537.2	43.4	124.4	-151.0	-74.6	1.3	74.6	4.8	11.7	1	H2O CO 3SUBD #2	Science: orders #168, #189, #190, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 		
143	Nightside	2021 FEB 04 05:12:01	2021 FEB 04 05:41:31	2021 FEB 04 06:11:00	3539.0	-151.0	-70.5	14.7	74.6	0.1	-74.6	175.1	23.7	1	-	-	-		
143	Dayside	2021 FEB 04 06:11:00	2021 FEB 04 06:40:28	2021 FEB 04 07:09:56	3536.0	14.7	95.4	-179.6	-74.6	1.4	74.6	5.0	11.7	1	-		COP row -1: 		
144	Nightside	2021 FEB 04 07:09:56	2021 FEB 04 07:39:25	2021 FEB 04 08:08:53	3536.9	-179.6	-99.4	-13.9	74.6	0.1	-74.6	174.9	23.7	3	-	-	-		
144	Dayside	2021 FEB 04 08:08:53	2021 FEB 04 08:38:21	2021 FEB 04 09:07:49	3536.3	-13.9	66.5	151.8	-74.6	1.5	74.6	5.3	11.7	3	Surface 3SUBD #3	Science: orders #189, #194, #196, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&daysideMatch:NILI FOSSAE; 	
145	Nightside	2021 FEB 04 09:07:49	2021 FEB 04 09:37:18	2021 FEB 04 10:06:46	3537.0	151.8	-128.3	-42.5	74.6	-0.0	-74.6	174.6	23.6	14	-	-	-		
145	Dayside	2021 FEB 04 10:06:46	2021 FEB 04 10:36:15	2021 FEB 04 11:05:44	3537.9	-42.5	37.6	123.1	-74.6	1.6	74.6	5.5	11.7	14	-		COP row -1: 		
