Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Thermal orbit number,Thermal orbit start (TDN2(n)+2min),Thermal orbit end (TDN2(n+1)+2min-1s),Thermal orbit duration (s),Nightside nadir start = TD2N(n),Nightside nadir end = TN2D(n)-1s,Nightside duration (s),Dayside nadir start = TN2D(n),Dayside nadir end = TD2N(n+1)-1s,Dayside duration (s),Dayside nadir min. phase angle (deg),Dayside nadir min. phase angle time (UTC)
1,1,117,2018 MAY 29 04:17:14,2018 MAY 29 06:15:04,7070,2018 MAY 29 04:15:14,2018 MAY 29 05:14:16,3542,2018 MAY 29 05:14:17,2018 MAY 29 06:13:04,3527,37.4292,2018 MAY 29 05:43:27
3,3,118,2018 MAY 29 06:15:05,2018 MAY 29 08:12:59,7074,2018 MAY 29 06:13:05,2018 MAY 29 07:12:10,3545,2018 MAY 29 07:12:11,2018 MAY 29 08:10:59,3528,37.1506,2018 MAY 29 07:41:22
1,1,119,2018 MAY 29 08:13:00,2018 MAY 29 10:10:55,7075,2018 MAY 29 08:11:00,2018 MAY 29 09:10:05,3545,2018 MAY 29 09:10:06,2018 MAY 29 10:08:55,3529,36.867,2018 MAY 29 09:39:17
4,4,120,2018 MAY 29 10:10:56,2018 MAY 29 12:08:49,7073,2018 MAY 29 10:08:56,2018 MAY 29 11:07:59,3543,2018 MAY 29 11:08:00,2018 MAY 29 12:06:49,3529,36.5912,2018 MAY 29 11:37:11
3,3,121,2018 MAY 29 12:08:50,2018 MAY 29 14:06:42,7072,2018 MAY 29 12:06:50,2018 MAY 29 13:05:53,3543,2018 MAY 29 13:05:54,2018 MAY 29 14:04:42,3528,36.3346,2018 MAY 29 13:35:04
1,1,122,2018 MAY 29 14:06:43,2018 MAY 29 16:04:32,7069,2018 MAY 29 14:04:43,2018 MAY 29 15:03:44,3541,2018 MAY 29 15:03:45,2018 MAY 29 16:02:32,3527,36.091,2018 MAY 29 15:32:54
4,4,123,2018 MAY 29 16:04:33,2018 MAY 29 18:02:22,7069,2018 MAY 29 16:02:33,2018 MAY 29 17:01:33,3540,2018 MAY 29 17:01:34,2018 MAY 29 18:00:22,3528,35.8294,2018 MAY 29 17:30:45
1,1,124,2018 MAY 29 18:02:23,2018 MAY 29 20:00:16,7073,2018 MAY 29 18:00:23,2018 MAY 29 18:59:25,3542,2018 MAY 29 18:59:26,2018 MAY 29 19:58:16,3530,35.5358,2018 MAY 29 19:28:37
3,3,125,2018 MAY 29 20:00:17,2018 MAY 29 21:58:11,7074,2018 MAY 29 19:58:17,2018 MAY 29 20:57:20,3543,2018 MAY 29 20:57:21,2018 MAY 29 21:56:11,3530,35.2455,2018 MAY 29 21:26:32
4,4,126,2018 MAY 29 21:58:12,2018 MAY 29 23:56:06,7074,2018 MAY 29 21:56:12,2018 MAY 29 22:55:17,3545,2018 MAY 29 22:55:18,2018 MAY 29 23:54:06,3528,34.9759,2018 MAY 29 23:24:28
3,3,127,2018 MAY 29 23:56:07,2018 MAY 30 01:53:59,7072,2018 MAY 29 23:54:07,2018 MAY 30 00:53:12,3545,2018 MAY 30 00:53:13,2018 MAY 30 01:51:59,3526,34.7232,2018 MAY 30 01:22:23
1,1,128,2018 MAY 30 01:54:00,2018 MAY 30 03:51:50,7070,2018 MAY 30 01:52:00,2018 MAY 30 02:51:03,3543,2018 MAY 30 02:51:04,2018 MAY 30 03:49:50,3526,34.4766,2018 MAY 30 03:20:13
1,1,129,2018 MAY 30 03:51:51,2018 MAY 30 05:49:40,7069,2018 MAY 30 03:49:51,2018 MAY 30 04:48:52,3541,2018 MAY 30 04:48:53,2018 MAY 30 05:47:40,3527,34.2114,2018 MAY 30 05:18:03
4,4,130,2018 MAY 30 05:49:41,2018 MAY 30 07:47:33,7072,2018 MAY 30 05:47:41,2018 MAY 30 06:46:44,3543,2018 MAY 30 06:46:45,2018 MAY 30 07:45:33,3528,33.9344,2018 MAY 30 07:15:56
1,1,131,2018 MAY 30 07:47:34,2018 MAY 30 09:45:29,7075,2018 MAY 30 07:45:34,2018 MAY 30 08:44:39,3545,2018 MAY 30 08:44:40,2018 MAY 30 09:43:29,3529,33.6513,2018 MAY 30 09:13:51
3,3,132,2018 MAY 30 09:45:30,2018 MAY 30 11:43:24,7074,2018 MAY 30 09:43:30,2018 MAY 30 10:42:33,3543,2018 MAY 30 10:42:34,2018 MAY 30 11:41:24,3530,33.3686,2018 MAY 30 11:11:46
4,4,133,2018 MAY 30 11:43:25,2018 MAY 30 13:41:17,7072,2018 MAY 30 11:41:25,2018 MAY 30 12:40:27,3542,2018 MAY 30 12:40:28,2018 MAY 30 13:39:17,3529,33.1012,2018 MAY 30 13:09:39
3,3,134,2018 MAY 30 13:41:18,2018 MAY 30 15:39:08,7070,2018 MAY 30 13:39:18,2018 MAY 30 14:38:19,3541,2018 MAY 30 14:38:20,2018 MAY 30 15:37:08,3528,32.8529,2018 MAY 30 15:07:30
1,1,135,2018 MAY 30 15:39:09,2018 MAY 30 17:36:58,7069,2018 MAY 30 15:37:09,2018 MAY 30 16:36:09,3540,2018 MAY 30 16:36:10,2018 MAY 30 17:34:58,3528,32.6043,2018 MAY 30 17:05:20
4,4,136,2018 MAY 30 17:36:59,2018 MAY 30 19:34:50,7071,2018 MAY 30 17:34:59,2018 MAY 30 18:33:59,3540,2018 MAY 30 18:34:00,2018 MAY 30 19:32:50,3530,32.3242,2018 MAY 30 19:03:11
3,3,137,2018 MAY 30 19:34:51,2018 MAY 30 21:32:44,7073,2018 MAY 30 19:32:51,2018 MAY 30 20:31:53,3542,2018 MAY 30 20:31:54,2018 MAY 30 21:30:44,3530,32.0282,2018 MAY 30 21:01:05
4,4,138,2018 MAY 30 21:32:45,2018 MAY 30 23:30:39,7074,2018 MAY 30 21:30:45,2018 MAY 30 22:29:49,3544,2018 MAY 30 22:29:50,2018 MAY 30 23:28:39,3529,31.7477,2018 MAY 30 22:59:01
1,1,139,2018 MAY 30 23:30:40,2018 MAY 31 01:28:33,7073,2018 MAY 30 23:28:40,2018 MAY 31 00:27:45,3545,2018 MAY 31 00:27:46,2018 MAY 31 01:26:33,3527,31.4878,2018 MAY 31 00:56:56
1,1,140,2018 MAY 31 01:28:34,2018 MAY 31 03:26:24,7070,2018 MAY 31 01:26:34,2018 MAY 31 02:25:37,3543,2018 MAY 31 02:25:38,2018 MAY 31 03:24:24,3526,31.2411,2018 MAY 31 02:54:48
3,3,141,2018 MAY 31 03:26:25,2018 MAY 31 05:24:13,7068,2018 MAY 31 03:24:25,2018 MAY 31 04:23:26,3541,2018 MAY 31 04:23:27,2018 MAY 31 05:22:13,3526,30.985,2018 MAY 31 04:52:36
1,1,142,2018 MAY 31 05:24:14,2018 MAY 31 07:22:05,7071,2018 MAY 31 05:22:14,2018 MAY 31 06:21:16,3542,2018 MAY 31 06:21:17,2018 MAY 31 07:20:05,3528,30.7111,2018 MAY 31 06:50:27
4,4,143,2018 MAY 31 07:22:06,2018 MAY 31 09:20:00,7074,2018 MAY 31 07:20:06,2018 MAY 31 08:19:09,3543,2018 MAY 31 08:19:10,2018 MAY 31 09:18:00,3530,30.4308,2018 MAY 31 08:48:22
3,3,144,2018 MAY 31 09:20:01,2018 MAY 31 11:17:55,7074,2018 MAY 31 09:18:01,2018 MAY 31 10:17:04,3543,2018 MAY 31 10:17:05,2018 MAY 31 11:15:55,3530,30.1446,2018 MAY 31 10:46:17
4,4,145,2018 MAY 31 11:17:56,2018 MAY 31 13:15:50,7074,2018 MAY 31 11:15:56,2018 MAY 31 12:14:58,3542,2018 MAY 31 12:14:59,2018 MAY 31 13:13:50,3531,29.8671,2018 MAY 31 12:44:11
1,1,146,2018 MAY 31 13:15:51,2018 MAY 31 15:13:41,7070,2018 MAY 31 13:13:51,2018 MAY 31 14:12:51,3540,2018 MAY 31 14:12:52,2018 MAY 31 15:11:41,3529,29.61,2018 MAY 31 14:42:02
1,1,147,2018 MAY 31 15:13:42,2018 MAY 31 17:11:30,7068,2018 MAY 31 15:11:42,2018 MAY 31 16:10:41,3539,2018 MAY 31 16:10:42,2018 MAY 31 17:09:30,3528,29.3634,2018 MAY 31 16:39:53
3,3,148,2018 MAY 31 17:11:31,2018 MAY 31 19:09:22,7071,2018 MAY 31 17:09:31,2018 MAY 31 18:08:31,3540,2018 MAY 31 18:08:32,2018 MAY 31 19:07:22,3530,29.0966,2018 MAY 31 18:37:43
1,1,149,2018 MAY 31 19:09:23,2018 MAY 31 21:07:15,7072,2018 MAY 31 19:07:23,2018 MAY 31 20:06:23,3540,2018 MAY 31 20:06:24,2018 MAY 31 21:05:15,3531,28.7995,2018 MAY 31 20:35:36
4,4,150,2018 MAY 31 21:07:16,2018 MAY 31 23:05:10,7074,2018 MAY 31 21:05:16,2018 MAY 31 22:04:19,3543,2018 MAY 31 22:04:20,2018 MAY 31 23:03:10,3530,28.5099,2018 MAY 31 22:33:31
3,3,151,2018 MAY 31 23:05:11,2018 JUN 01 01:03:04,7073,2018 MAY 31 23:03:11,2018 JUN 01 00:02:15,3544,2018 JUN 01 00:02:16,2018 JUN 01 01:01:04,3528,28.2399,2018 JUN 01 00:31:27
1,1,152,2018 JUN 01 01:03:05,2018 JUN 01 03:00:57,7072,2018 JUN 01 01:01:05,2018 JUN 01 02:00:09,3544,2018 JUN 01 02:00:10,2018 JUN 01 02:58:57,3527,27.9858,2018 JUN 01 02:29:20
4,4,153,2018 JUN 01 03:00:58,2018 JUN 01 04:58:47,7069,2018 JUN 01 02:58:58,2018 JUN 01 03:57:59,3541,2018 JUN 01 03:58:00,2018 JUN 01 04:56:47,3527,27.7343,2018 JUN 01 04:27:10
1,1,154,2018 JUN 01 04:58:48,2018 JUN 01 06:56:37,7069,2018 JUN 01 04:56:48,2018 JUN 01 05:55:49,3541,2018 JUN 01 05:55:50,2018 JUN 01 06:54:37,3527,27.4654,2018 JUN 01 06:24:59
1,1,155,2018 JUN 01 06:56:38,2018 JUN 01 08:54:31,7073,2018 JUN 01 06:54:38,2018 JUN 01 07:53:41,3543,2018 JUN 01 07:53:42,2018 JUN 01 08:52:31,3529,27.1876,2018 JUN 01 08:22:53
