TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,1,124,124,Dayside_Nadir,2018 MAR 29 20:31:25,NONE
1,1,1934,1934,Dayside_Nadir,2018 MAR 29 22:33:15,NONE
1,1,1107,1107,Dayside_Nadir,2018 MAR 30 00:35:03,NONE
1,1,2318,2318,Dayside_Nadir,2018 MAR 30 02:36:49,NONE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 30 04:48:29,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 30 04:48:29,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 30 04:48:29,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 30 06:50:15,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 30 06:50:15,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 30 06:50:15,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 30 08:52:05,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 30 08:52:05,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 30 08:52:05,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 30 10:53:53,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 30 10:53:53,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 30 10:53:53,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 30 12:55:41,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 30 12:55:41,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 30 12:55:41,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 30 14:57:25,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 30 14:57:25,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 30 14:57:25,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 30 16:59:09,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 30 16:59:09,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 30 16:59:09,COMMENT_GOES_HERE
1,1,144,144,Dayside_Nadir,2018 MAR 30 18:50:53,NONE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 30 21:02:41,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 30 21:02:41,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 30 21:02:41,COMMENT_GOES_HERE
1,1,1090,1090,Dayside_Nadir,2018 MAR 30 22:54:29,NONE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 31 01:06:17,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 31 01:06:17,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 31 01:06:17,COMMENT_GOES_HERE
1,1,2639,2639,Dayside_Nadir,2018 MAR 31 02:58:03,NONE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 31 05:09:43,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 31 05:09:43,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 31 05:09:43,COMMENT_GOES_HERE
1,1,140,140,Dayside_Nadir,2018 MAR 31 07:01:27,NONE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 31 09:13:15,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 31 09:13:15,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 31 09:13:15,COMMENT_GOES_HERE
1,1,104,104,Dayside_Nadir,2018 MAR 31 11:05:05,NONE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 31 13:16:51,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 31 13:16:51,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 31 13:16:51,COMMENT_GOES_HERE
1,1,1033,1033,Dayside_Nadir,2018 MAR 31 15:08:35,NONE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 31 17:20:17,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 31 17:20:17,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 31 17:20:17,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 31 19:22:01,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 31 19:22:01,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 31 19:22:01,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 31 21:23:47,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 31 21:23:47,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 31 21:23:47,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 31 23:25:35,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 31 23:25:35,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 31 23:25:35,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 01 01:27:23,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 01 01:27:23,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 01 01:27:23,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 01 03:29:07,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 01 03:29:07,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 01 03:29:07,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 01 05:30:49,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 01 05:30:49,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 01 05:30:49,COMMENT_GOES_HERE
1,1,1860,1860,Dayside_Nadir,2018 APR 01 07:22:31,NONE
1,1,2626,2626,Dayside_Nadir,2018 APR 01 09:24:19,NONE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 01 11:36:07,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 01 11:36:07,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 01 11:36:07,COMMENT_GOES_HERE
1,1,116,116,Dayside_Nadir,2018 APR 01 13:27:53,NONE
1,1,1779,1779,Dayside_Nadir,2018 APR 01 15:29:37,NONE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 01 17:41:17,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 01 17:41:17,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 01 17:41:17,COMMENT_GOES_HERE
1,1,2364,2364,Dayside_Nadir,2018 APR 01 19:33:01,NONE
1,1,1029,1029,Dayside_Nadir,2018 APR 01 21:34:47,NONE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 01 23:46:33,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 01 23:46:33,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 01 23:46:33,COMMENT_GOES_HERE
1,1,1837,1837,Dayside_Nadir,2018 APR 02 01:38:21,NONE
1,1,124,124,Dayside_Nadir,2018 APR 02 03:40:05,NONE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 05:51:45,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 05:51:45,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 05:51:45,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 07:53:25,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 07:53:25,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 07:53:25,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 09:55:13,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 09:55:13,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 09:55:13,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 11:56:59,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 11:56:59,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 11:56:59,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 13:58:45,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 13:58:45,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 13:58:45,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 16:00:27,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 16:00:27,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 16:00:27,COMMENT_GOES_HERE
1,1,1934,1934,Dayside_Nadir,2018 APR 02 17:52:09,NONE
1,1,1107,1107,Dayside_Nadir,2018 APR 02 19:53:49,NONE
1,1,2318,2318,Dayside_Nadir,2018 APR 02 21:55:35,NONE
1,1,144,144,Dayside_Nadir,2018 APR 02 23:57:21,NONE
1,1,1090,1090,Dayside_Nadir,2018 APR 03 01:59:07,NONE
1,1,2639,2639,Dayside_Nadir,2018 APR 03 04:00:51,NONE
1,1,140,140,Dayside_Nadir,2018 APR 03 06:02:29,NONE
1,1,104,104,Dayside_Nadir,2018 APR 03 08:04:11,NONE
1,1,1033,1033,Dayside_Nadir,2018 APR 03 10:05:55,NONE
1,1,1860,1860,Dayside_Nadir,2018 APR 03 12:07:41,NONE
1,1,2626,2626,Dayside_Nadir,2018 APR 03 14:09:27,NONE
1,1,116,116,Dayside_Nadir,2018 APR 03 16:11:09,NONE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 03 18:22:49,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 03 18:22:49,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 03 18:22:49,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 03 20:24:29,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 03 20:24:29,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 03 20:24:29,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 03 22:26:13,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 03 22:26:13,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 03 22:26:13,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 04 00:27:57,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 04 00:27:57,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 04 00:27:57,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 04 02:29:43,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 04 02:29:43,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 04 02:29:43,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 APR 04 04:31:25,COMMENT_GOES_HERE
