degf,dvaf,sbsf,aotfPointer,steppingPointer,accumulationCount,binningFactor,integrationTime
0,1,1,110,10,60,5,190000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14466MS -- NROWS=144
0,1,1,110,10,32,5,390000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14426MS -- NROWS=144
0,1,1,140,10,148,5,50000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14475MS -- NROWS=144
0,1,1,140,10,98,5,100000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14568MS -- NROWS=144
0,1,1,140,10,60,5,190000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14466MS -- NROWS=144
0,1,1,140,10,32,5,390000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14426MS -- NROWS=144
0,1,1,110,12,148,5,50000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14475MS -- NROWS=144
0,1,1,110,12,98,5,100000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14568MS -- NROWS=144
0,1,1,110,12,60,5,190000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14466MS -- NROWS=144
0,1,1,110,12,32,5,390000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14426MS -- NROWS=144
0,1,1,110,6,100,2,120000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14555MS -- NROWS=72
0,1,1,110,6,62,2,205000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14434MS -- NROWS=72
0,1,1,110,6,32,2,415000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14491MS -- NROWS=72
0,1,1,120,6,100,2,120000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14555MS -- NROWS=72
0,1,1,120,6,62,2,205000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14434MS -- NROWS=72
0,1,1,120,6,32,2,415000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14491MS -- NROWS=72
0,1,1,130,6,100,2,120000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14555MS -- NROWS=72
0,1,1,130,6,62,2,205000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14434MS -- NROWS=72
0,1,1,130,6,32,2,415000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14491MS -- NROWS=72
0,1,1,140,6,100,2,120000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14555MS -- NROWS=72
0,1,1,140,6,62,2,205000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14434MS -- NROWS=72
0,1,1,140,6,32,2,415000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14491MS -- NROWS=72
