science_1,science_2,science_3,science_4,science_5,science_6
174,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
175,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
176,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
177,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
178,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
179,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
180,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
181,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
182,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
183,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
184,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
185,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
186,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
187,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
188,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
189,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
190,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
191,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
192,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
193,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
194,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
195,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
196,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
197,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
198,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
199,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
200,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
201,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
202,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
203,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
204,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
205,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
206,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
207,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
208,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
209,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
210,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
211,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
212,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
213,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
214,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
215,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
216,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
217,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
218,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
219,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
220,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
221,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
222,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
223,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
224,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
225,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
226,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
227,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
228,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
229,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
230,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
