TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
-1,-1,-1,-1,527,Dayside_Nadir,2018 MAY 10 02:53:21, 
-1,-1,-1,-1,528,Dayside_Nadir,2018 MAY 10 02:53:21, 
1,1,2318,2318,529,Dayside_Nadir,2018 MAY 10 04:41:23,OBSERVATION_COMMENT
-1,-1,-1,-1,530,Dayside_Nadir,2018 MAY 10 06:49:21, 
-1,-1,-1,-1,531,Dayside_Nadir,2018 MAY 10 06:49:21, 
-1,-1,-1,-1,532,Dayside_Nadir,2018 MAY 10 06:49:21, 
1,1,1860,1860,533,Dayside_Nadir,2018 MAY 10 08:37:21,OBSERVATION_COMMENT
-1,-1,-1,-1,534,Dayside_Nadir,2018 MAY 10 10:45:27, 
-1,-1,-1,-1,535,Dayside_Nadir,2018 MAY 10 10:45:27, 
-1,-1,-1,-1,536,Dayside_Nadir,2018 MAY 10 10:45:27, 
1,1,2364,2364,537,Dayside_Nadir,2018 MAY 10 12:33:35,OBSERVATION_COMMENT
-1,-1,-1,-1,538,Dayside_Nadir,2018 MAY 10 14:41:41, 
-1,-1,-1,-1,539,Dayside_Nadir,2018 MAY 10 14:41:41, 
-1,-1,-1,-1,540,Dayside_Nadir,2018 MAY 10 14:41:41, 
1,1,144,144,541,Dayside_Nadir,2018 MAY 10 16:29:43,OBSERVATION_COMMENT
-1,-1,-1,-1,542,Dayside_Nadir,2018 MAY 10 18:37:45, 
-1,-1,-1,-1,543,Dayside_Nadir,2018 MAY 10 18:37:45, 
-1,-1,-1,-1,544,Dayside_Nadir,2018 MAY 10 18:37:45, 
1,1,124,124,545,Dayside_Nadir,2018 MAY 10 20:25:45,OBSERVATION_COMMENT
-1,-1,-1,-1,546,Dayside_Nadir,2018 MAY 10 22:33:51, 
-1,-1,-1,-1,547,Dayside_Nadir,2018 MAY 10 22:33:51, 
-1,-1,-1,-1,548,Dayside_Nadir,2018 MAY 10 22:33:51, 
1,1,116,116,549,Dayside_Nadir,2018 MAY 11 00:22:01,OBSERVATION_COMMENT
