Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Thermal orbit number,Thermal orbit start (TDN2(n)+2min),Thermal orbit end (TDN2(n+1)+2min-1s),Thermal orbit duration (s),Nightside nadir start = TD2N(n),Nightside nadir end = TN2D(n)-1s,Nightside duration (s),Dayside nadir start = TN2D(n),Dayside nadir end = TD2N(n+1)-1s,Dayside duration (s),Dayside nadir min. phase angle (deg),Dayside nadir min. phase angle time (UTC)
3,3,42,2024 APR 16 23:35:04,2024 APR 17 01:32:59,7075,2024 APR 16 23:33:04,2024 APR 17 00:32:18,3554,2024 APR 17 00:32:19,2024 APR 17 01:30:59,3520,23.0841,2024 APR 17 01:01:26
3,3,43,2024 APR 17 01:33:00,2024 APR 17 03:30:53,7073,2024 APR 17 01:31:00,2024 APR 17 02:30:13,3553,2024 APR 17 02:30:14,2024 APR 17 03:28:53,3519,22.8897,2024 APR 17 02:59:21
1,1,44,2024 APR 17 03:30:54,2024 APR 17 05:28:47,7073,2024 APR 17 03:28:54,2024 APR 17 04:28:06,3552,2024 APR 17 04:28:07,2024 APR 17 05:26:47,3520,22.6818,2024 APR 17 04:57:14
1,1,45,2024 APR 17 05:28:48,2024 APR 17 07:26:43,7075,2024 APR 17 05:26:48,2024 APR 17 06:26:00,3552,2024 APR 17 06:26:01,2024 APR 17 07:24:43,3522,22.4327,2024 APR 17 06:55:09
3,3,46,2024 APR 17 07:26:44,2024 APR 17 09:24:41,7077,2024 APR 17 07:24:44,2024 APR 17 08:23:59,3555,2024 APR 17 08:24:00,2024 APR 17 09:22:41,3521,22.1764,2024 APR 17 08:53:07
3,3,47,2024 APR 17 09:24:42,2024 APR 17 11:22:40,7078,2024 APR 17 09:22:42,2024 APR 17 10:21:58,3556,2024 APR 17 10:21:59,2024 APR 17 11:20:40,3521,21.9491,2024 APR 17 10:51:07
1,1,48,2024 APR 17 11:22:41,2024 APR 17 13:20:37,7076,2024 APR 17 11:20:41,2024 APR 17 12:19:57,3556,2024 APR 17 12:19:58,2024 APR 17 13:18:37,3519,21.752,2024 APR 17 12:49:05
3,3,49,2024 APR 17 13:20:38,2024 APR 17 15:18:32,7074,2024 APR 17 13:18:38,2024 APR 17 14:17:52,3554,2024 APR 17 14:17:53,2024 APR 17 15:16:32,3519,21.5639,2024 APR 17 14:47:00
1,1,50,2024 APR 17 15:18:33,2024 APR 17 17:16:25,7072,2024 APR 17 15:16:33,2024 APR 17 16:15:45,3552,2024 APR 17 16:15:46,2024 APR 17 17:14:25,3519,21.3452,2024 APR 17 16:44:53
3,3,51,2024 APR 17 17:16:26,2024 APR 17 19:14:21,7075,2024 APR 17 17:14:26,2024 APR 17 18:13:39,3553,2024 APR 17 18:13:40,2024 APR 17 19:12:21,3521,21.1001,2024 APR 17 18:42:48
