Target Name,Flyover #,Orbit type,Thermal orbit number,Start crossing time (UTC),End crossing time (UTC),Start crossing latitude (deg),Start crossing longitude (deg),End crossing latitude (deg),End crossing longitude (deg),Start crossing phase angle (deg),End crossing phase angle (deg),Start crossing solar incidence angle (deg),End crossing solar incidence angle (deg),Start crossing emission angle (deg),End crossing emission angle (deg),Start crossing LST (h),End crossing LST (h)
Uysses Fossae                                        ,3,3,341,2023 AUG 05 12:06:29,2023 AUG 05 12:07:05,9.6477,-123.1019,11.4016,-122.7923,83.2905,82.9862,83.0967,82.7848,0.23526,0.23225,17.79,17.8203
Coprates Rise                                        ,1,3,46,2023 JUL 12 09:26:59,2023 JUL 12 09:27:34,-20.0985,-60.1137,-21.8524,-59.7114,47.1108,48.7888,48.9824,50.433,3.7228,3.3282,10.7583,10.7947
Coprates Rise                                        ,2,1,158,2023 JUL 21 13:32:36,2023 JUL 21 13:33:12,-20.0988,-60.5162,-21.8519,-60.1543,63.4989,64.3794,63.5026,64.3965,0.076745,0.070372,8.9581,8.9917
CH4_ROI_ACIDALIA MUD VOLCANOES NE                    ,1,3,181,2023 JUL 23 10:22:01,2023 JUL 23 10:22:38,45.5856,-20.6764,43.8222,-19.9252,59.8364,59.3632,59.5955,59.1464,0.61568,0.609,7.2425,7.3028
CH4_ROI_ACIDALIA MUD VOLCANOES NE                    ,2,3,288,2023 AUG 01 04:09:15,2023 AUG 01 04:09:52,43.8222,-20.8806,45.5856,-20.1253,87.0898,86.6865,86.7608,86.3548,0.33256,0.33505,19.4228,19.4831
CH4_ROI_ACIDALIA MUD VOLCANOES NE                    ,3,3,293,2023 AUG 01 14:27:37,2023 AUG 01 14:28:14,45.5856,-21.5036,43.8222,-20.7473,78.4228,78.5373,78.138,78.2539,0.61701,0.61672,5.4122,5.4728
CH4_ROI_ACIDALIA MUD VOLCANOES BASSIN                ,1,1,7,2023 JUL 09 04:27:26,2023 JUL 09 04:27:43,41.8348,-24.8997,41.0504,-24.61,25.6213,24.9226,28.2999,27.6994,3.5634,3.646,10.1656,10.1894
CH4_ROI_ACIDALIA MUD VOLCANOES BASSIN                ,2,3,119,2023 JUL 18 08:33:03,2023 JUL 18 08:33:40,41.8347,-25.3869,40.0735,-24.7507,46.1137,45.327,47.6174,46.9562,1.5116,1.6372,8.36,8.4125
CH4_ROI_ACIDALIA MUD VOLCANOES BASSIN                ,3,3,231,2023 JUL 27 12:38:41,2023 JUL 27 12:39:18,41.8349,-25.6718,40.0732,-25.0046,69.3816,69.4108,67.4634,67.2985,1.9655,2.147,6.5669,6.6217
CH4_ROI_ACIDALIA MUD VOLCANOES BASSIN                ,4,3,313,2023 AUG 03 05:15:36,2023 AUG 03 05:16:13,40.0734,-25.7119,41.8348,-25.0662,83.9059,83.6241,83.6038,83.319,0.30784,0.31106,18.8972,18.9503
CH4_ROI_AEOLIS MENSAE - MFF                          ,1,1,101,2023 JUL 16 21:25:44,2023 JUL 16 21:26:20,-1.8989,145.6048,-3.6516,145.8817,45.1382,45.7992,44.4579,45.2978,0.69775,0.5068,9.5739,9.6019
CH4_ROI_AEOLIS MENSAE - MFF                          ,2,5,213,2023 JUL 26 01:31:20,2023 JUL 26 01:31:55,-1.8988,144.7364,-3.6517,145.0337,67.5326,67.9845,67.3954,67.8576,0.25571,0.23495,7.7414,7.7708
CH4_ROI_CERBERUS FOSSAE                              ,1,3,1,2023 JUL 08 16:50:37,2023 JUL 08 16:51:13,11.0417,156.9097,9.2876,157.2198,20.4435,21.4628,20.1331,21.1561,0.40628,0.38691,10.9819,11.0122
CH4_ROI_CERBERUS FOSSAE                              ,2,3,113,2023 JUL 17 20:56:14,2023 JUL 17 20:56:49,11.0416,156.5437,9.2877,156.852,46.3753,46.7282,42.2869,42.6712,4.1681,4.1702,9.1847,9.2147
CH4_ROI_UTOPIA                                       ,1,1,53,2023 JUL 12 22:54:02,2023 JUL 12 22:54:39,33.8735,87.2795,32.1151,87.7656,31.4589,30.7518,31.4092,30.6992,0.22376,0.22683,9.6769,9.7192
CH4_ROI_UTOPIA                                       ,2,3,252,2023 JUL 29 05:57:23,2023 JUL 29 05:57:58,33.8705,87.4523,32.1199,87.8095,60.7905,59.7218,72.5565,72.7315,11.7662,13.0102,6.3189,6.3522
CH4_ROI_UTOPIA                                       ,3,3,309,2023 AUG 02 21:21:11,2023 AUG 02 21:21:47,32.1153,87.5278,33.8733,88.0127,85.9396,85.6166,85.6534,85.3255,0.28842,0.29413,18.75,18.7922
CH4_ROI_ARGYRE                                       ,1,1,33,2023 JUL 11 08:00:29,2023 JUL 11 08:01:05,-38.6376,-38.773,-40.394,-38.1615,64.4996,66.1542,64.6801,66.3377,0.26076,0.26376,11.4175,11.4681
CH4_ROI_ARGYRE                                       ,2,3,145,2023 JUL 20 12:06:25,2023 JUL 20 12:06:41,-39.6111,-39.233,-40.394,-38.9555,72.9787,73.4881,73.1084,73.6204,0.13953,0.14241,9.6186,9.6414
CH4_ROI_VERNAL CRATER                                ,1,3,131,2023 JUL 19 08:20:00,2023 JUL 19 08:20:36,6.5417,-4.4048,4.7874,-4.0755,43.9493,44.6567,48.0026,48.4474,4.3552,4.1204,8.9072,8.9389
LANDER_Phoenix                                       ,1,3,22,2023 JUL 10 09:45:20,2023 JUL 10 09:46:02,69.8825,-127.6498,68.3542,-123.75,55.6054,53.5446,57.1543,55.3083,3.4815,3.8837,7.8331,8.1044
