degf,dvaf,sbsf,aotfPointer,steppingPointer,accumulationCount,binningFactor,integrationTime
0,1,1,170,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,170,7,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,170,7,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,175,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,175,7,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,175,7,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,180,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,180,7,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,180,7,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,185,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,185,7,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,185,7,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,190,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,190,7,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,190,7,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,195,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,195,7,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,195,7,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,200,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,200,7,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,200,7,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,205,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,205,7,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,205,7,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,210,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,210,7,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,210,7,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,215,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,215,7,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,215,7,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,110,9,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,110,9,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,110,9,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,140,9,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,140,9,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,140,9,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,170,9,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,170,9,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,170,9,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,195,9,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,195,9,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,195,9,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,110,11,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,110,11,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,110,11,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,140,11,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,140,11,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,140,11,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,110,13,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,110,13,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,110,13,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,100,7,16,3,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
0,1,1,100,7,12,3,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
0,1,1,100,7,10,3,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
0,1,1,105,7,16,3,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
0,1,1,105,7,12,3,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
0,1,1,105,7,10,3,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
0,1,1,110,7,16,3,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
0,1,1,110,7,12,3,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
0,1,1,110,7,10,3,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
0,1,1,115,7,16,3,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
0,1,1,115,7,12,3,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
0,1,1,115,7,10,3,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
0,1,1,120,7,16,3,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
0,1,1,120,7,12,3,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
0,1,1,120,7,10,3,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
0,1,1,125,7,16,3,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
0,1,1,125,7,12,3,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
0,1,1,125,7,10,3,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
0,1,1,130,7,16,3,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
0,1,1,130,7,12,3,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
0,1,1,130,7,10,3,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
0,1,1,135,7,16,3,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
0,1,1,135,7,12,3,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
0,1,1,135,7,10,3,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
0,1,1,140,7,16,3,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
0,1,1,140,7,12,3,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
0,1,1,140,7,10,3,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
0,1,1,145,7,16,3,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
0,1,1,145,7,12,3,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
0,1,1,145,7,10,3,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
0,1,1,150,7,16,3,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
0,1,1,150,7,12,3,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
0,1,1,150,7,10,3,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=804MS -- NROWS=16
0,1,1,155,7,16,3,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=834MS -- NROWS=16
0,1,1,155,7,12,3,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=792MS -- NROWS=16
