Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
NOMAD	28	Egress	2019 MAY 20 21:26:06	2019 MAY 20 21:27:08	2019 MAY 20 21:31:45	339.00	-122.90	-123.78	-127.74	12.43	15.29	27.12	5.78	1	CH4 01	Science: orders #168, #133, #134, #135, #136, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7	egressMatch:ULYSSES FOSSAE; egressMatch:ULYSSES FOSSAE; 	
ACS	29	Ingress	2019 MAY 20 22:46:59	2019 MAY 20 22:51:55	2019 MAY 20 22:52:59	360.00	15.99	-6.33	-15.50	-63.12	-73.76	-75.69	14.99	3	-	-	-	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; 	
ACS	29	Egress	2019 MAY 20 23:24:08	2019 MAY 20 23:25:09	2019 MAY 20 23:29:44	336.00	-151.75	-152.61	-156.55	12.98	15.78	27.48	5.78	3	-	-	-	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; 	
NOMAD	30	Ingress	2019 MAY 21 00:44:57	2019 MAY 21 00:49:51	2019 MAY 21 00:50:54	357.00	-12.85	-34.99	-43.94	-63.20	-73.73	-75.63	14.99	1	Nominal Science with CO 01	Science: orders #147, #134, #169, #121, #186, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7		
NOMAD	30	Egress	2019 MAY 21 01:22:11	2019 MAY 21 01:23:12	2019 MAY 21 01:27:45	334.00	179.39	178.52	174.60	13.55	16.34	27.92	5.77	1	BgSubTest 04	Science: orders #168, #136, #189, #119, #166, #148, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7		
NOMAD	31	Ingress	2019 MAY 21 02:42:54	2019 MAY 21 02:47:46	2019 MAY 21 02:48:49	355.00	-41.77	-63.87	-72.83	-63.36	-73.76	-75.65	14.98	1	CO 01	Science: orders #167, #188, #189, #190, #191, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
NOMAD	31	Egress	2019 MAY 21 03:20:15	2019 MAY 21 03:21:15	2019 MAY 21 03:25:48	333.00	150.52	149.67	145.73	14.14	16.87	28.41	5.76	1	CO Fullscan Fast	Diffraction order stepping (fullscan): 10 orders from 185 to 195 in steps of 1 (6 order(s) per 1 second(s))	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
N/A	32	Ingress	2019 MAY 21 04:40:49	2019 MAY 21 04:45:40	2019 MAY 21 04:46:42	353.00	-70.69	-92.90	-101.76	-63.53	-73.83	-75.67	14.96	14	-	-	-		
N/A	32	Egress	2019 MAY 21 05:18:15	2019 MAY 21 05:19:15	2019 MAY 21 05:23:46	331.00	121.68	120.83	116.90	14.67	17.40	28.82	5.75	14	-	-	-		
ACS	33	Ingress	2019 MAY 21 06:38:38	2019 MAY 21 06:43:28	2019 MAY 21 06:44:30	352.00	-99.41	-121.47	-130.26	-63.55	-73.79	-75.63	14.96	14	-	-	-		
