Instrument	Occultation Index	Occultation Type	UTC Start Time	UTC End Time	UTC Transition Time	Duration (s)	Tangent Centre Longitude	Tangent Centre Latitude	Tangent Centre Local Time (hrs)	
NOMAD	116	Ingress	2018 JUN 21 08:19:33	2018 JUN 21 08:25:01	2018 JUN 21 08:23:44	328.0	-104.8	60.9	17.1	
NOMAD	117	Egress	2018 JUN 21 08:59:27	2018 JUN 21 09:05:19	2018 JUN 21 09:00:47	352.0	-62.5	-78.5	20.6	
ACS	118	Ingress	2018 JUN 21 10:17:26	2018 JUN 21 10:22:55	2018 JUN 21 10:21:38	329.0	-133.5	61.0	17.1	
ACS	119	Egress	2018 JUN 21 10:57:15	2018 JUN 21 11:03:08	2018 JUN 21 10:58:35	353.0	-92.0	-78.2	20.5	
N/A	120	Ingress	2018 JUN 21 12:15:16	2018 JUN 21 12:20:48	2018 JUN 21 12:19:30	332.0	-162.2	60.9	17.1	
N/A	121	Egress	2018 JUN 21 12:55:02	2018 JUN 21 13:00:57	2018 JUN 21 12:56:22	355.0	-121.2	-78.1	20.5	
NOMAD	122	Ingress	2018 JUN 21 14:13:09	2018 JUN 21 14:18:41	2018 JUN 21 14:17:24	332.0	169.1	60.8	17.1	
NOMAD	123	Egress	2018 JUN 21 14:52:50	2018 JUN 21 14:58:46	2018 JUN 21 14:54:10	356.0	-150.2	-77.9	20.5	
ACS	124	Ingress	2018 JUN 21 16:11:04	2018 JUN 21 16:16:38	2018 JUN 21 16:15:20	334.0	140.6	60.4	17.1	
ACS	125	Egress	2018 JUN 21 16:50:39	2018 JUN 21 16:56:36	2018 JUN 21 16:51:59	357.0	-179.5	-77.7	20.4	
NOMAD	126	Ingress	2018 JUN 21 18:09:01	2018 JUN 21 18:14:36	2018 JUN 21 18:13:18	335.0	111.9	60.5	17.1	
NOMAD	127	Egress	2018 JUN 21 18:48:29	2018 JUN 21 18:54:27	2018 JUN 21 18:49:50	358.0	151.1	-77.5	20.4	
NOMAD	128	Ingress	2018 JUN 21 20:06:57	2018 JUN 21 20:12:34	2018 JUN 21 20:11:16	337.0	83.3	60.2	17.1	
NOMAD	129	Egress	2018 JUN 21 20:46:20	2018 JUN 21 20:52:21	2018 JUN 21 20:47:41	361.0	121.8	-77.3	20.4	
ACS	130	Ingress	2018 JUN 21 22:04:52	2018 JUN 21 22:10:31	2018 JUN 21 22:09:12	339.0	54.5	60.3	17.1	
ACS	131	Egress	2018 JUN 21 22:44:10	2018 JUN 21 22:50:13	2018 JUN 21 22:45:31	363.0	92.6	-77.1	20.3	
N/A	132	Ingress	2018 JUN 22 00:02:44	2018 JUN 22 00:08:23	2018 JUN 22 00:07:04	339.0	26.0	59.9	17.1	
N/A	133	Egress	2018 JUN 22 00:41:56	2018 JUN 22 00:48:01	2018 JUN 22 00:43:18	365.0	63.2	-76.8	20.3	
NOMAD	134	Ingress	2018 JUN 22 02:00:33	2018 JUN 22 02:06:15	2018 JUN 22 02:04:56	342.0	-2.8	60.1	17.1	
NOMAD	135	Egress	2018 JUN 22 02:39:41	2018 JUN 22 02:45:46	2018 JUN 22 02:41:03	365.0	34.0	-76.6	20.2	
ACS	136	Ingress	2018 JUN 22 03:58:28	2018 JUN 22 04:04:12	2018 JUN 22 04:02:52	344.0	-31.3	59.7	17.1	
ACS	137	Egress	2018 JUN 22 04:37:29	2018 JUN 22 04:43:36	2018 JUN 22 04:38:52	367.0	4.9	-76.4	20.2	
NOMAD	138	Ingress	2018 JUN 22 05:56:27	2018 JUN 22 06:02:12	2018 JUN 22 06:00:52	345.0	-59.9	59.4	17.1	
NOMAD	139	Egress	2018 JUN 22 06:35:22	2018 JUN 22 06:41:31	2018 JUN 22 06:36:44	369.0	-24.2	-76.2	20.2	
ACS	140	Ingress	2018 JUN 22 07:54:25	2018 JUN 22 08:00:11	2018 JUN 22 07:58:51	346.0	-88.5	59.1	17.1	
ACS	141	Egress	2018 JUN 22 08:33:13	2018 JUN 22 08:39:24	2018 JUN 22 08:34:36	371.0	-53.6	-75.9	20.1	
NOMAD	142	Ingress	2018 JUN 22 09:52:19	2018 JUN 22 09:58:08	2018 JUN 22 09:56:47	349.0	-117.2	59.2	17.1	
NOMAD	143	Egress	2018 JUN 22 10:31:01	2018 JUN 22 10:37:14	2018 JUN 22 10:32:25	373.0	-83.0	-75.6	20.1	
N/A	144	Ingress	2018 JUN 22 11:50:11	2018 JUN 22 11:56:02	2018 JUN 22 11:54:41	351.0	-145.9	59.2	17.1	
N/A	145	Egress	2018 JUN 22 12:28:48	2018 JUN 22 12:35:03	2018 JUN 22 12:30:12	375.0	-112.1	-75.3	20.0	
NOMAD	146	Ingress	2018 JUN 22 13:48:03	2018 JUN 22 13:53:56	2018 JUN 22 13:52:34	353.0	-174.6	59.1	17.1	
NOMAD	147	Egress	2018 JUN 22 14:26:35	2018 JUN 22 14:32:53	2018 JUN 22 14:27:59	378.0	-141.1	-75.2	20.0	
N/A	148	Ingress	2018 JUN 22 15:45:58	2018 JUN 22 15:51:52	2018 JUN 22 15:50:30	354.0	156.9	58.6	17.2	
N/A	149	Egress	2018 JUN 22 16:24:22	2018 JUN 22 16:30:41	2018 JUN 22 16:25:47	379.0	-170.3	-74.9	20.0	
NOMAD	150	Ingress	2018 JUN 22 17:43:54	2018 JUN 22 17:49:50	2018 JUN 22 17:48:28	356.0	128.2	58.6	17.2	
NOMAD	151	Egress	2018 JUN 22 18:22:11	2018 JUN 22 18:28:31	2018 JUN 22 18:23:36	380.0	160.5	-74.6	19.9	
ACS	152	Ingress	2018 JUN 22 19:41:52	2018 JUN 22 19:47:50	2018 JUN 22 19:46:27	358.0	99.6	58.4	17.2	
ACS	153	Egress	2018 JUN 22 20:20:01	2018 JUN 22 20:26:24	2018 JUN 22 20:21:27	383.0	131.3	-74.4	19.9	
NOMAD	154	Ingress	2018 JUN 22 21:39:48	2018 JUN 22 21:45:48	2018 JUN 22 21:44:25	360.0	71.0	58.1	17.2	
NOMAD	155	Egress	2018 JUN 22 22:17:52	2018 JUN 22 22:24:17	2018 JUN 22 22:19:18	385.0	102.3	-74.1	19.9	
N/A	156	Ingress	2018 JUN 22 23:37:42	2018 JUN 22 23:43:44	2018 JUN 22 23:42:20	362.0	42.3	58.1	17.2	
N/A	157	Egress	2018 JUN 23 00:15:39	2018 JUN 23 00:22:08	2018 JUN 23 00:17:06	389.0	73.2	-73.9	19.9	
NOMAD	158	Ingress	2018 JUN 23 01:35:32	2018 JUN 23 01:41:36	2018 JUN 23 01:40:12	364.0	13.6	58.0	17.2	
NOMAD	159	Egress	2018 JUN 23 02:13:23	2018 JUN 23 02:19:53	2018 JUN 23 02:14:50	390.0	44.0	-73.6	19.8	
ACS	160	Ingress	2018 JUN 23 03:33:25	2018 JUN 23 03:39:31	2018 JUN 23 03:38:07	366.0	-15.0	57.9	17.2	
ACS	161	Egress	2018 JUN 23 04:11:09	2018 JUN 23 04:17:41	2018 JUN 23 04:12:36	392.0	15.0	-73.3	19.8	
N/A	162	Ingress	2018 JUN 23 05:31:24	2018 JUN 23 05:37:32	2018 JUN 23 05:36:07	368.0	-43.6	57.5	17.2	
N/A	163	Egress	2018 JUN 23 06:09:00	2018 JUN 23 06:15:34	2018 JUN 23 06:10:27	394.0	-14.0	-73.1	19.8	
NOMAD	164	Ingress	2018 JUN 23 07:29:23	2018 JUN 23 07:35:33	2018 JUN 23 07:34:08	370.0	-72.2	57.2	17.2	
NOMAD	165	Egress	2018 JUN 23 08:06:51	2018 JUN 23 08:13:27	2018 JUN 23 08:08:19	396.0	-43.1	-72.8	19.8	
ACS	166	Ingress	2018 JUN 23 09:27:19	2018 JUN 23 09:33:31	2018 JUN 23 09:32:06	372.0	-100.9	57.3	17.2	
ACS	167	Egress	2018 JUN 23 10:04:39	2018 JUN 23 10:11:18	2018 JUN 23 10:06:07	399.0	-72.4	-72.4	19.7	
N/A	168	Ingress	2018 JUN 23 11:25:12	2018 JUN 23 11:31:27	2018 JUN 23 11:30:01	375.0	-129.5	57.0	17.2	
N/A	169	Egress	2018 JUN 23 12:02:25	2018 JUN 23 12:09:07	2018 JUN 23 12:03:54	402.0	-101.5	-72.1	19.7	
N/A	170	Ingress	2018 JUN 23 13:23:03	2018 JUN 23 13:29:21	2018 JUN 23 13:27:54	378.0	-158.2	56.9	17.2	
N/A	171	Egress	2018 JUN 23 14:00:10	2018 JUN 23 14:06:55	2018 JUN 23 14:01:40	405.0	-130.5	-71.8	19.7	
N/A	172	Ingress	2018 JUN 23 15:20:57	2018 JUN 23 15:27:17	2018 JUN 23 15:25:49	380.0	173.2	56.8	17.2	
N/A	173	Egress	2018 JUN 23 15:57:57	2018 JUN 23 16:04:43	2018 JUN 23 15:59:27	406.0	-159.4	-71.6	19.6	
NOMAD	174	Ingress	2018 JUN 23 17:18:54	2018 JUN 23 17:25:16	2018 JUN 23 17:23:48	382.0	144.6	56.4	17.2	
NOMAD	175	Egress	2018 JUN 23 17:55:44	2018 JUN 23 18:02:32	2018 JUN 23 17:57:14	408.0	171.5	-71.3	19.6	
ACS	176	Ingress	2018 JUN 23 19:16:51	2018 JUN 23 19:23:16	2018 JUN 23 19:21:48	385.0	115.9	56.4	17.2	
ACS	177	Egress	2018 JUN 23 19:53:33	2018 JUN 23 20:00:23	2018 JUN 23 19:55:04	410.0	142.4	-71.0	19.6	
NOMAD	178	Ingress	2018 JUN 23 21:14:49	2018 JUN 23 21:21:16	2018 JUN 23 21:19:47	387.0	87.3	56.2	17.2	
NOMAD	179	Egress	2018 JUN 23 21:51:22	2018 JUN 23 21:58:16	2018 JUN 23 21:52:54	414.0	113.4	-70.6	19.6	
N/A	180	Ingress	2018 JUN 23 23:12:44	2018 JUN 23 23:19:14	2018 JUN 23 23:17:45	390.0	58.7	55.8	17.2	
N/A	181	Egress	2018 JUN 23 23:49:10	2018 JUN 23 23:56:08	2018 JUN 23 23:50:42	418.0	84.4	-70.3	19.5	
NOMAD	182	Ingress	2018 JUN 24 01:10:36	2018 JUN 24 01:17:08	2018 JUN 24 01:15:38	392.0	30.0	55.8	17.2	
NOMAD	183	Egress	2018 JUN 24 01:46:54	2018 JUN 24 01:53:55	2018 JUN 24 01:48:27	421.0	55.3	-70.0	19.5	
ACS	184	Ingress	2018 JUN 24 03:08:27	2018 JUN 24 03:15:02	2018 JUN 24 03:13:32	395.0	1.4	55.7	17.2	
ACS	185	Egress	2018 JUN 24 03:44:37	2018 JUN 24 03:51:40	2018 JUN 24 03:46:11	423.0	26.3	-69.6	19.5	
NOMAD	186	Ingress	2018 JUN 24 05:06:25	2018 JUN 24 05:13:03	2018 JUN 24 05:11:32	398.0	-27.3	55.6	17.2	
NOMAD	187	Egress	2018 JUN 24 05:42:26	2018 JUN 24 05:49:30	2018 JUN 24 05:44:00	424.0	-2.6	-69.4	19.5	
ACS	188	Ingress	2018 JUN 24 07:04:26	2018 JUN 24 07:11:06	2018 JUN 24 07:09:34	400.0	-55.9	55.3	17.2	
ACS	189	Egress	2018 JUN 24 07:40:16	2018 JUN 24 07:47:24	2018 JUN 24 07:41:51	428.0	-31.6	-69.1	19.4	
NOMAD	190	Ingress	2018 JUN 24 09:02:24	2018 JUN 24 09:09:08	2018 JUN 24 09:07:36	404.0	-84.5	55.0	17.2	
NOMAD	191	Egress	2018 JUN 24 09:38:04	2018 JUN 24 09:45:16	2018 JUN 24 09:39:40	432.0	-60.8	-68.6	19.4	
N/A	192	Ingress	2018 JUN 24 11:00:20	2018 JUN 24 11:07:07	2018 JUN 24 11:05:34	407.0	-113.1	54.7	17.2	
N/A	193	Egress	2018 JUN 24 11:35:50	2018 JUN 24 11:43:05	2018 JUN 24 11:37:26	435.0	-89.8	-68.2	19.4	
NOMAD	194	Ingress	2018 JUN 24 12:58:12	2018 JUN 24 13:05:03	2018 JUN 24 13:03:29	411.0	-141.8	54.6	17.2	
NOMAD	195	Egress	2018 JUN 24 13:33:35	2018 JUN 24 13:40:54	2018 JUN 24 13:35:12	439.0	-118.8	-67.8	19.4	
ACS	196	Ingress	2018 JUN 24 14:56:05	2018 JUN 24 15:02:59	2018 JUN 24 15:01:24	414.0	-170.5	54.6	17.2	
