Dayside Nadir Index	UTC Start Time	UTC End Time	UTC Minimum Incidence Angle Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Local Time (hrs)	
96	2018 JUN 24 11:48:32	2018 JUN 24 12:51:27	2018 JUN 24 12:19:39	3778.0	40.1	100.6	-154.3	-72.1	7.8	72.1	8.8	
97	2018 JUN 24 13:46:21	2018 JUN 24 14:49:15	2018 JUN 24 14:17:27	3778.0	11.2	71.7	176.8	-72.1	7.8	72.1	8.8	
98	2018 JUN 24 15:44:11	2018 JUN 24 16:47:07	2018 JUN 24 16:15:19	3780.0	-17.5	42.8	148.2	-72.0	7.9	72.0	8.8	
99	2018 JUN 24 17:42:05	2018 JUN 24 18:45:03	2018 JUN 24 18:13:13	3780.0	-45.8	13.8	119.7	-71.9	8.1	71.9	8.7	
100	2018 JUN 24 19:40:01	2018 JUN 24 20:42:59	2018 JUN 24 20:11:09	3782.0	-74.6	-15.1	91.0	-71.8	8.2	71.8	8.7	
101	2018 JUN 24 21:37:55	2018 JUN 24 22:40:53	2018 JUN 24 22:09:03	3782.0	-103.4	-44.1	62.3	-71.8	8.3	71.8	8.7	
102	2018 JUN 24 23:35:46	2018 JUN 25 00:38:43	2018 JUN 25 00:06:53	3780.0	-132.1	-73.0	33.4	-71.8	8.3	71.9	8.7	
103	2018 JUN 25 01:33:36	2018 JUN 25 02:36:33	2018 JUN 25 02:04:43	3780.0	-160.8	-101.9	4.8	-71.8	8.4	71.8	8.7	
104	2018 JUN 25 03:31:26	2018 JUN 25 04:34:25	2018 JUN 25 04:02:33	3782.0	170.6	-130.8	-23.7	-71.8	8.5	71.7	8.7	
105	2018 JUN 25 05:29:18	2018 JUN 25 06:32:19	2018 JUN 25 06:00:27	3784.0	141.9	-159.8	-52.4	-71.7	8.6	71.6	8.6	
106	2018 JUN 25 07:27:15	2018 JUN 25 08:30:13	2018 JUN 25 07:58:23	3782.0	113.3	171.3	-81.2	-71.6	8.8	71.6	8.6	
107	2018 JUN 25 09:25:11	2018 JUN 25 10:28:07	2018 JUN 25 09:56:17	3780.0	84.6	142.3	-109.9	-71.5	8.9	71.6	8.6	
108	2018 JUN 25 11:23:04	2018 JUN 25 12:25:59	2018 JUN 25 11:54:11	3778.0	55.9	113.4	-138.6	-71.5	8.9	71.6	8.6	
109	2018 JUN 25 13:20:54	2018 JUN 25 14:23:49	2018 JUN 25 13:51:59	3778.0	27.2	84.4	-167.2	-71.6	9.0	71.6	8.6	
110	2018 JUN 25 15:18:43	2018 JUN 25 16:21:39	2018 JUN 25 15:49:49	3780.0	-1.6	55.5	164.1	-71.5	9.1	71.5	8.5	
111	2018 JUN 25 17:16:36	2018 JUN 25 18:19:35	2018 JUN 25 17:47:43	3782.0	-30.1	26.6	135.6	-71.4	9.2	71.3	8.5	
112	2018 JUN 25 19:14:32	2018 JUN 25 20:17:31	2018 JUN 25 19:45:41	3782.0	-58.6	-2.3	107.0	-71.3	9.4	71.2	8.5	
113	2018 JUN 25 21:12:27	2018 JUN 25 22:15:25	2018 JUN 25 21:43:35	3782.0	-87.4	-31.3	78.2	-71.3	9.4	71.2	8.5	
114	2018 JUN 25 23:10:20	2018 JUN 26 00:13:17	2018 JUN 25 23:41:27	3782.0	-116.2	-60.2	49.4	-71.3	9.5	71.3	8.5	
115	2018 JUN 26 01:08:11	2018 JUN 26 02:11:07	2018 JUN 26 01:39:17	3780.0	-144.8	-89.2	20.7	-71.2	9.6	71.3	8.5	
116	2018 JUN 26 03:06:00	2018 JUN 26 04:08:57	2018 JUN 26 03:37:07	3780.0	-173.4	-118.1	-8.0	-71.2	9.7	71.2	8.4	
117	2018 JUN 26 05:03:51	2018 JUN 26 06:06:53	2018 JUN 26 05:35:01	3786.0	157.8	-147.0	-36.3	-71.1	9.8	71.0	8.4	
118	2018 JUN 26 07:01:47	2018 JUN 26 08:04:47	2018 JUN 26 07:32:55	3784.0	129.2	-175.9	-65.1	-71.0	10.0	71.0	8.4	
119	2018 JUN 26 08:59:45	2018 JUN 26 10:02:43	2018 JUN 26 09:30:51	3782.0	100.8	155.2	-93.7	-70.9	10.2	70.9	8.4	
120	2018 JUN 26 10:57:40	2018 JUN 26 12:00:35	2018 JUN 26 11:28:45	3780.0	71.9	126.2	-122.5	-70.9	10.2	70.9	8.4	
121	2018 JUN 26 12:55:31	2018 JUN 26 13:58:27	2018 JUN 26 13:26:37	3780.0	43.1	97.3	-151.1	-70.9	10.2	70.9	8.4	
122	2018 JUN 26 14:53:20	2018 JUN 26 15:56:17	2018 JUN 26 15:24:25	3780.0	14.6	68.4	-179.8	-70.9	10.4	70.8	8.3	
123	2018 JUN 26 16:51:12	2018 JUN 26 17:54:09	2018 JUN 26 17:22:17	3782.0	-14.2	39.5	151.5	-70.8	10.5	70.7	8.3	
124	2018 JUN 26 18:49:07	2018 JUN 26 19:52:07	2018 JUN 26 19:20:15	3784.0	-42.6	10.6	123.1	-70.6	10.7	70.6	8.3	
125	2018 JUN 26 20:47:03	2018 JUN 26 21:50:03	2018 JUN 26 21:18:11	3784.0	-71.2	-18.4	94.5	-70.5	10.8	70.5	8.3	
126	2018 JUN 26 22:44:57	2018 JUN 26 23:47:57	2018 JUN 26 23:16:03	3784.0	-99.9	-47.4	65.8	-70.5	10.9	70.5	8.3	
127	2018 JUN 27 00:42:49	2018 JUN 27 01:45:47	2018 JUN 27 01:13:55	3782.0	-128.6	-76.3	36.9	-70.5	11.0	70.5	8.3	
128	2018 JUN 27 02:40:39	2018 JUN 27 03:43:37	2018 JUN 27 03:11:45	3782.0	-157.3	-105.2	8.3	-70.5	11.1	70.5	8.2	
129	2018 JUN 27 04:38:29	2018 JUN 27 05:41:29	2018 JUN 27 05:09:37	3784.0	174.0	-134.1	-20.3	-70.4	11.2	70.3	8.2	
130	2018 JUN 27 06:36:23	2018 JUN 27 07:39:25	2018 JUN 27 07:07:31	3786.0	145.5	-163.0	-48.8	-70.3	11.4	70.2	8.2	
131	2018 JUN 27 08:34:21	2018 JUN 27 09:37:21	2018 JUN 27 09:05:27	3784.0	117.0	168.1	-77.4	-70.1	11.6	70.1	8.2	
132	2018 JUN 27 10:32:17	2018 JUN 27 11:35:15	2018 JUN 27 11:03:23	3782.0	88.3	139.1	-106.1	-70.1	11.7	70.1	8.2	
133	2018 JUN 27 12:30:11	2018 JUN 27 13:33:07	2018 JUN 27 13:01:15	3780.0	59.6	110.1	-134.8	-70.0	11.7	70.1	8.2	
134	2018 JUN 27 14:28:00	2018 JUN 27 15:30:57	2018 JUN 27 14:59:05	3780.0	30.9	81.2	-163.5	-70.1	11.8	70.0	8.1	
135	2018 JUN 27 16:25:51	2018 JUN 27 17:28:49	2018 JUN 27 16:56:57	3782.0	2.2	52.3	167.9	-70.0	12.0	69.9	8.1	
136	2018 JUN 27 18:23:46	2018 JUN 27 19:26:45	2018 JUN 27 18:54:53	3784.0	-26.4	23.4	139.3	-69.8	12.1	69.7	8.1	
137	2018 JUN 27 20:21:43	2018 JUN 27 21:24:43	2018 JUN 27 20:52:49	3784.0	-54.8	-5.5	110.9	-69.6	12.4	69.6	8.1	
138	2018 JUN 27 22:19:38	2018 JUN 27 23:22:39	2018 JUN 27 22:50:45	3786.0	-83.6	-34.4	82.3	-69.6	12.5	69.5	8.1	
139	2018 JUN 28 00:17:31	2018 JUN 28 01:20:31	2018 JUN 28 00:48:37	3784.0	-112.2	-63.4	53.5	-69.5	12.6	69.5	8.1	
