TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
-1,-1,-1,-1,382,Dayside_Nadir,2018 JUN 02 15:17:33, 
1,1,1107,1107,383,Dayside_Nadir,2018 JUN 02 17:05:23,OBSERVATION_COMMENT
1,1,1837,1837,385,Dayside_Nadir,2018 JUN 02 19:13:11,OBSERVATION_COMMENT
-1,-1,-1,-1,386,Dayside_Nadir,2018 JUN 02 21:11:05, 
1,1,2318,2318,387,Dayside_Nadir,2018 JUN 02 22:58:59,OBSERVATION_COMMENT
-1,-1,-1,-1,388,Dayside_Nadir,2018 JUN 03 01:06:55, 
1,1,1033,1033,390,Dayside_Nadir,2018 JUN 03 03:04:49,OBSERVATION_COMMENT
1,1,2318,2318,392,Dayside_Nadir,2018 JUN 03 05:02:39,OBSERVATION_COMMENT
1,1,140,140,393,Dayside_Nadir,2018 JUN 03 06:50:27,OBSERVATION_COMMENT
-1,-1,-1,-1,394,Dayside_Nadir,2018 JUN 03 08:58:19, 
-1,-1,-1,-1,395,Dayside_Nadir,2018 JUN 03 08:58:19, 
-1,-1,-1,-1,396,Dayside_Nadir,2018 JUN 03 08:58:19, 
1,1,104,104,398,Dayside_Nadir,2018 JUN 03 10:56:13,OBSERVATION_COMMENT
1,1,2639,2639,399,Dayside_Nadir,2018 JUN 03 12:44:07,OBSERVATION_COMMENT
-1,-1,-1,-1,400,Dayside_Nadir,2018 JUN 03 14:52:01, 
-1,-1,-1,-1,401,Dayside_Nadir,2018 JUN 03 14:52:01, 
-1,-1,-1,-1,402,Dayside_Nadir,2018 JUN 03 14:52:01, 
1,1,2626,2626,404,Dayside_Nadir,2018 JUN 03 16:49:51,OBSERVATION_COMMENT
1,1,1029,1029,406,Dayside_Nadir,2018 JUN 03 18:47:39,OBSERVATION_COMMENT
1,1,2318,2318,407,Dayside_Nadir,2018 JUN 03 20:35:31,OBSERVATION_COMMENT
-1,-1,-1,-1,408,Dayside_Nadir,2018 JUN 03 22:43:25, 
-1,-1,-1,-1,409,Dayside_Nadir,2018 JUN 03 22:43:25, 
-1,-1,-1,-1,410,Dayside_Nadir,2018 JUN 03 22:43:25, 
1,1,1090,1090,411,Dayside_Nadir,2018 JUN 04 00:31:21,OBSERVATION_COMMENT
1,1,1779,1779,413,Dayside_Nadir,2018 JUN 04 02:39:15,OBSERVATION_COMMENT
-1,-1,-1,-1,414,Dayside_Nadir,2018 JUN 04 04:37:05, 
-1,-1,-1,-1,415,Dayside_Nadir,2018 JUN 04 04:37:05, 
-1,-1,-1,-1,416,Dayside_Nadir,2018 JUN 04 04:37:05, 
1,1,2318,2318,418,Dayside_Nadir,2018 JUN 04 06:34:53,OBSERVATION_COMMENT
1,1,1860,1860,419,Dayside_Nadir,2018 JUN 04 08:22:45,OBSERVATION_COMMENT
-1,-1,-1,-1,420,Dayside_Nadir,2018 JUN 04 10:30:39, 
-1,-1,-1,-1,421,Dayside_Nadir,2018 JUN 04 10:30:39, 
-1,-1,-1,-1,422,Dayside_Nadir,2018 JUN 04 10:30:39, 
1,1,2364,2364,424,Dayside_Nadir,2018 JUN 04 12:28:33,OBSERVATION_COMMENT
1,1,2318,2318,425,Dayside_Nadir,2018 JUN 04 14:16:25,OBSERVATION_COMMENT
1,1,144,144,427,Dayside_Nadir,2018 JUN 04 16:24:17,OBSERVATION_COMMENT
-1,-1,-1,-1,428,Dayside_Nadir,2018 JUN 04 18:22:07, 
-1,-1,-1,-1,429,Dayside_Nadir,2018 JUN 04 18:22:07, 
-1,-1,-1,-1,430,Dayside_Nadir,2018 JUN 04 18:22:07, 
1,1,124,124,431,Dayside_Nadir,2018 JUN 04 20:09:55,OBSERVATION_COMMENT
-1,-1,-1,-1,432,Dayside_Nadir,2018 JUN 04 22:17:49, 
-1,-1,-1,-1,433,Dayside_Nadir,2018 JUN 04 22:17:49, 
-1,-1,-1,-1,434,Dayside_Nadir,2018 JUN 04 22:17:49, 
1,1,2318,2318,436,Dayside_Nadir,2018 JUN 05 00:15:45,OBSERVATION_COMMENT
1,1,116,116,437,Dayside_Nadir,2018 JUN 05 02:03:39,OBSERVATION_COMMENT
1,1,2318,2318,439,Dayside_Nadir,2018 JUN 05 04:11:33,OBSERVATION_COMMENT
1,1,1934,1934,441,Dayside_Nadir,2018 JUN 05 06:09:21,OBSERVATION_COMMENT
-1,-1,-1,-1,442,Dayside_Nadir,2018 JUN 05 08:07:11, 
-1,-1,-1,-1,443,Dayside_Nadir,2018 JUN 05 08:07:11, 
-1,-1,-1,-1,444,Dayside_Nadir,2018 JUN 05 08:07:11, 
1,1,2318,2318,445,Dayside_Nadir,2018 JUN 05 09:55:03,OBSERVATION_COMMENT
1,1,1107,1107,447,Dayside_Nadir,2018 JUN 05 12:02:57,OBSERVATION_COMMENT
-1,-1,-1,-1,448,Dayside_Nadir,2018 JUN 05 14:00:51, 
-1,-1,-1,-1,449,Dayside_Nadir,2018 JUN 05 14:00:51, 
-1,-1,-1,-1,450,Dayside_Nadir,2018 JUN 05 14:00:51, 
1,1,1837,1837,451,Dayside_Nadir,2018 JUN 05 15:48:43,OBSERVATION_COMMENT
1,1,2318,2318,453,Dayside_Nadir,2018 JUN 05 17:56:33,OBSERVATION_COMMENT
-1,-1,-1,-1,454,Dayside_Nadir,2018 JUN 05 19:54:21, 
-1,-1,-1,-1,455,Dayside_Nadir,2018 JUN 05 19:54:21, 
-1,-1,-1,-1,456,Dayside_Nadir,2018 JUN 05 19:54:21, 
1,1,1033,1033,457,Dayside_Nadir,2018 JUN 05 21:42:13,OBSERVATION_COMMENT
1,1,2318,2318,459,Dayside_Nadir,2018 JUN 05 23:50:09,OBSERVATION_COMMENT
1,1,140,140,461,Dayside_Nadir,2018 JUN 06 01:48:03,OBSERVATION_COMMENT
-1,-1,-1,-1,462,Dayside_Nadir,2018 JUN 06 03:45:57, 
-1,-1,-1,-1,463,Dayside_Nadir,2018 JUN 06 03:45:57, 
-1,-1,-1,-1,464,Dayside_Nadir,2018 JUN 06 03:45:57, 
1,1,104,104,466,Dayside_Nadir,2018 JUN 06 05:43:47,OBSERVATION_COMMENT
