OBSERVATION NUMBER,TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
265,1,1,1033,1033,Dayside_Nadir,2018 APR 03 10:05:55,NONE
266,1,1,1860,1860,Dayside_Nadir,2018 APR 03 12:07:41,NONE
267,1,1,2626,2626,Dayside_Nadir,2018 APR 03 14:09:27,NONE
268,1,1,116,116,Dayside_Nadir,2018 APR 03 16:11:09,NONE
269,-1,-1,-1,-1,Dayside_Nadir,2018 APR 03 18:22:49,COMMENT_GOES_HERE
270,-1,-1,-1,-1,Dayside_Nadir,2018 APR 03 18:22:49,COMMENT_GOES_HERE
271,-1,-1,-1,-1,Dayside_Nadir,2018 APR 03 18:22:49,COMMENT_GOES_HERE
272,-1,-1,-1,-1,Dayside_Nadir,2018 APR 03 20:24:29,COMMENT_GOES_HERE
273,-1,-1,-1,-1,Dayside_Nadir,2018 APR 03 20:24:29,COMMENT_GOES_HERE
274,-1,-1,-1,-1,Dayside_Nadir,2018 APR 03 20:24:29,COMMENT_GOES_HERE
275,-1,-1,-1,-1,Dayside_Nadir,2018 APR 03 22:26:13,COMMENT_GOES_HERE
276,-1,-1,-1,-1,Dayside_Nadir,2018 APR 03 22:26:13,COMMENT_GOES_HERE
277,-1,-1,-1,-1,Dayside_Nadir,2018 APR 03 22:26:13,COMMENT_GOES_HERE
278,-1,-1,-1,-1,Dayside_Nadir,2018 APR 04 00:27:57,COMMENT_GOES_HERE
279,-1,-1,-1,-1,Dayside_Nadir,2018 APR 04 00:27:57,COMMENT_GOES_HERE
280,-1,-1,-1,-1,Dayside_Nadir,2018 APR 04 00:27:57,COMMENT_GOES_HERE
281,-1,-1,-1,-1,Dayside_Nadir,2018 APR 04 02:29:43,COMMENT_GOES_HERE
282,-1,-1,-1,-1,Dayside_Nadir,2018 APR 04 02:29:43,COMMENT_GOES_HERE
283,-1,-1,-1,-1,Dayside_Nadir,2018 APR 04 02:29:43,COMMENT_GOES_HERE
284,-1,-1,-1,-1,Dayside_Nadir,2018 APR 04 04:31:25,COMMENT_GOES_HERE
285,-1,-1,-1,-1,Dayside_Nadir,2018 APR 04 04:31:25,COMMENT_GOES_HERE
286,-1,-1,-1,-1,Dayside_Nadir,2018 APR 04 04:31:25,COMMENT_GOES_HERE
288,1,1,1779,1779,Dayside_Nadir,2018 APR 04 08:21:31,NONE
290,1,1,2364,2364,Dayside_Nadir,2018 APR 04 12:18:39,NONE
292,1,1,1029,1029,Dayside_Nadir,2018 APR 04 16:15:43,NONE
294,1,1,1837,1837,Dayside_Nadir,2018 APR 04 20:12:39,NONE
296,1,1,124,124,Dayside_Nadir,2018 APR 05 00:09:43,NONE
298,1,1,1934,1934,Dayside_Nadir,2018 APR 05 04:06:49,NONE
299,-1,-1,-1,-1,Dayside_Nadir,2018 APR 05 06:15:19,COMMENT_GOES_HERE
300,-1,-1,-1,-1,Dayside_Nadir,2018 APR 05 06:15:19,COMMENT_GOES_HERE
301,-1,-1,-1,-1,Dayside_Nadir,2018 APR 05 06:15:19,COMMENT_GOES_HERE
302,-1,-1,-1,-1,Dayside_Nadir,2018 APR 05 08:13:45,COMMENT_GOES_HERE
303,-1,-1,-1,-1,Dayside_Nadir,2018 APR 05 08:13:45,COMMENT_GOES_HERE
304,-1,-1,-1,-1,Dayside_Nadir,2018 APR 05 08:13:45,COMMENT_GOES_HERE
305,-1,-1,-1,-1,Dayside_Nadir,2018 APR 05 10:12:17,COMMENT_GOES_HERE
306,-1,-1,-1,-1,Dayside_Nadir,2018 APR 05 10:12:17,COMMENT_GOES_HERE
307,-1,-1,-1,-1,Dayside_Nadir,2018 APR 05 10:12:17,COMMENT_GOES_HERE
308,-1,-1,-1,-1,Dayside_Nadir,2018 APR 05 12:10:51,COMMENT_GOES_HERE
309,-1,-1,-1,-1,Dayside_Nadir,2018 APR 05 12:10:51,COMMENT_GOES_HERE
310,-1,-1,-1,-1,Dayside_Nadir,2018 APR 05 12:10:51,COMMENT_GOES_HERE
311,-1,-1,-1,-1,Dayside_Nadir,2018 APR 05 14:09:23,COMMENT_GOES_HERE
312,-1,-1,-1,-1,Dayside_Nadir,2018 APR 05 14:09:23,COMMENT_GOES_HERE
313,-1,-1,-1,-1,Dayside_Nadir,2018 APR 05 14:09:23,COMMENT_GOES_HERE
314,-1,-1,-1,-1,Dayside_Nadir,2018 APR 05 16:07:55,COMMENT_GOES_HERE
315,-1,-1,-1,-1,Dayside_Nadir,2018 APR 05 16:07:55,COMMENT_GOES_HERE
316,-1,-1,-1,-1,Dayside_Nadir,2018 APR 05 16:07:55,COMMENT_GOES_HERE
318,1,1,1107,1107,Dayside_Nadir,2018 APR 05 19:54:51,NONE
319,1,1,2318,2318,Dayside_Nadir,2018 APR 05 21:53:19,NONE
321,1,1,144,144,Dayside_Nadir,2018 APR 06 01:50:25,NONE
322,1,1,1090,1090,Dayside_Nadir,2018 APR 06 03:48:57,NONE
324,1,1,2639,2639,Dayside_Nadir,2018 APR 06 07:45:51,NONE
325,1,1,140,140,Dayside_Nadir,2018 APR 06 09:44:19,NONE
327,1,1,104,104,Dayside_Nadir,2018 APR 06 13:41:25,NONE
328,1,1,1033,1033,Dayside_Nadir,2018 APR 06 15:39:57,NONE
329,-1,-1,-1,-1,Dayside_Nadir,2018 APR 06 17:48:25,COMMENT_GOES_HERE
330,-1,-1,-1,-1,Dayside_Nadir,2018 APR 06 17:48:25,COMMENT_GOES_HERE
331,-1,-1,-1,-1,Dayside_Nadir,2018 APR 06 17:48:25,COMMENT_GOES_HERE
332,-1,-1,-1,-1,Dayside_Nadir,2018 APR 06 19:46:51,COMMENT_GOES_HERE
333,-1,-1,-1,-1,Dayside_Nadir,2018 APR 06 19:46:51,COMMENT_GOES_HERE
334,-1,-1,-1,-1,Dayside_Nadir,2018 APR 06 19:46:51,COMMENT_GOES_HERE
335,-1,-1,-1,-1,Dayside_Nadir,2018 APR 06 21:45:19,COMMENT_GOES_HERE
336,-1,-1,-1,-1,Dayside_Nadir,2018 APR 06 21:45:19,COMMENT_GOES_HERE
337,-1,-1,-1,-1,Dayside_Nadir,2018 APR 06 21:45:19,COMMENT_GOES_HERE
338,-1,-1,-1,-1,Dayside_Nadir,2018 APR 06 23:43:51,COMMENT_GOES_HERE
339,-1,-1,-1,-1,Dayside_Nadir,2018 APR 06 23:43:51,COMMENT_GOES_HERE
340,-1,-1,-1,-1,Dayside_Nadir,2018 APR 06 23:43:51,COMMENT_GOES_HERE
341,-1,-1,-1,-1,Dayside_Nadir,2018 APR 07 01:42:23,COMMENT_GOES_HERE
342,-1,-1,-1,-1,Dayside_Nadir,2018 APR 07 01:42:23,COMMENT_GOES_HERE
343,-1,-1,-1,-1,Dayside_Nadir,2018 APR 07 01:42:23,COMMENT_GOES_HERE
344,-1,-1,-1,-1,Dayside_Nadir,2018 APR 07 03:40:55,COMMENT_GOES_HERE
345,-1,-1,-1,-1,Dayside_Nadir,2018 APR 07 03:40:55,COMMENT_GOES_HERE
346,-1,-1,-1,-1,Dayside_Nadir,2018 APR 07 03:40:55,COMMENT_GOES_HERE
347,1,1,1860,1860,Dayside_Nadir,2018 APR 07 05:29:25,NONE
348,1,1,2626,2626,Dayside_Nadir,2018 APR 07 07:27:51,NONE
349,1,1,116,116,Dayside_Nadir,2018 APR 07 09:26:17,NONE
350,1,1,1779,1779,Dayside_Nadir,2018 APR 07 11:24:47,NONE
351,1,1,2364,2364,Dayside_Nadir,2018 APR 07 13:23:21,NONE
352,1,1,1029,1029,Dayside_Nadir,2018 APR 07 15:21:51,NONE
353,1,1,1837,1837,Dayside_Nadir,2018 APR 07 17:20:21,NONE
354,1,1,124,124,Dayside_Nadir,2018 APR 07 19:18:47,NONE
355,1,1,1934,1934,Dayside_Nadir,2018 APR 07 21:17:13,NONE
356,1,1,1107,1107,Dayside_Nadir,2018 APR 07 23:15:43,NONE
357,1,1,2318,2318,Dayside_Nadir,2018 APR 08 01:14:13,NONE
358,1,1,144,144,Dayside_Nadir,2018 APR 08 03:12:45,NONE
359,-1,-1,-1,-1,Dayside_Nadir,2018 APR 08 05:21:15,COMMENT_GOES_HERE
360,-1,-1,-1,-1,Dayside_Nadir,2018 APR 08 05:21:15,COMMENT_GOES_HERE
361,-1,-1,-1,-1,Dayside_Nadir,2018 APR 08 05:21:15,COMMENT_GOES_HERE
362,-1,-1,-1,-1,Dayside_Nadir,2018 APR 08 07:19:41,COMMENT_GOES_HERE
363,-1,-1,-1,-1,Dayside_Nadir,2018 APR 08 07:19:41,COMMENT_GOES_HERE
364,-1,-1,-1,-1,Dayside_Nadir,2018 APR 08 07:19:41,COMMENT_GOES_HERE
365,-1,-1,-1,-1,Dayside_Nadir,2018 APR 08 09:18:07,COMMENT_GOES_HERE
366,-1,-1,-1,-1,Dayside_Nadir,2018 APR 08 09:18:07,COMMENT_GOES_HERE
367,-1,-1,-1,-1,Dayside_Nadir,2018 APR 08 09:18:07,COMMENT_GOES_HERE
368,-1,-1,-1,-1,Dayside_Nadir,2018 APR 08 11:16:35,COMMENT_GOES_HERE
369,-1,-1,-1,-1,Dayside_Nadir,2018 APR 08 11:16:35,COMMENT_GOES_HERE
370,-1,-1,-1,-1,Dayside_Nadir,2018 APR 08 11:16:35,COMMENT_GOES_HERE
371,-1,-1,-1,-1,Dayside_Nadir,2018 APR 08 13:15:07,COMMENT_GOES_HERE
372,-1,-1,-1,-1,Dayside_Nadir,2018 APR 08 13:15:07,COMMENT_GOES_HERE
373,-1,-1,-1,-1,Dayside_Nadir,2018 APR 08 13:15:07,COMMENT_GOES_HERE
374,-1,-1,-1,-1,Dayside_Nadir,2018 APR 08 15:13:39,COMMENT_GOES_HERE
375,-1,-1,-1,-1,Dayside_Nadir,2018 APR 08 15:13:39,COMMENT_GOES_HERE
376,-1,-1,-1,-1,Dayside_Nadir,2018 APR 08 15:13:39,COMMENT_GOES_HERE
378,1,1,1090,1090,Dayside_Nadir,2018 APR 08 19:00:35,NONE
380,1,1,2639,2639,Dayside_Nadir,2018 APR 08 22:57:29,NONE
382,1,1,140,140,Dayside_Nadir,2018 APR 09 02:54:29,NONE
384,1,1,104,104,Dayside_Nadir,2018 APR 09 06:51:27,NONE
386,1,1,1033,1033,Dayside_Nadir,2018 APR 09 10:48:19,NONE
388,1,1,1860,1860,Dayside_Nadir,2018 APR 09 14:45:19,NONE
389,-1,-1,-1,-1,Dayside_Nadir,2018 APR 09 16:53:49,COMMENT_GOES_HERE
390,-1,-1,-1,-1,Dayside_Nadir,2018 APR 09 16:53:49,COMMENT_GOES_HERE
391,-1,-1,-1,-1,Dayside_Nadir,2018 APR 09 16:53:49,COMMENT_GOES_HERE
392,-1,-1,-1,-1,Dayside_Nadir,2018 APR 09 18:52:17,COMMENT_GOES_HERE
393,-1,-1,-1,-1,Dayside_Nadir,2018 APR 09 18:52:17,COMMENT_GOES_HERE
394,-1,-1,-1,-1,Dayside_Nadir,2018 APR 09 18:52:17,COMMENT_GOES_HERE
395,-1,-1,-1,-1,Dayside_Nadir,2018 APR 09 20:50:41,COMMENT_GOES_HERE
