Obs Type Index,Obs Type,TC Start Time,TC20 PRECOOLING,TC20 FIXED,TC20 SCI1,TC20 SCI2,
92,Dayside_Nadir,2018 MAR 31 21:23:47,0,0,0,0,
93,Dayside_Nadir,2018 MAR 31 23:25:35,0,0,0,0,
94,Dayside_Nadir,2018 APR 01 01:27:23,0,0,0,0,
95,Dayside_Nadir,2018 APR 01 03:29:07,0,0,0,0,
96,Dayside_Nadir,2018 APR 01 05:30:49,0,0,0,0,
97,Dayside_Nadir,2018 APR 01 07:22:31,1,1,1860,1860,
98,Dayside_Nadir,2018 APR 01 09:24:19,1,1,2626,2626,
99,Dayside_Nadir,2018 APR 01 11:36:07,0,0,0,0,
100,Dayside_Nadir,2018 APR 01 13:27:53,1,1,116,116,
101,Dayside_Nadir,2018 APR 01 15:29:37,1,1,1779,1779,
102,Dayside_Nadir,2018 APR 01 17:41:17,0,0,0,0,
103,Dayside_Nadir,2018 APR 01 19:33:01,1,1,2364,2364,
104,Dayside_Nadir,2018 APR 01 21:34:47,1,1,1029,1029,
105,Dayside_Nadir,2018 APR 01 23:46:33,0,0,0,0,
106,Dayside_Nadir,2018 APR 02 01:38:21,1,1,1837,1837,
107,Dayside_Nadir,2018 APR 02 03:40:05,1,1,124,124,
108,Dayside_Nadir,2018 APR 02 05:51:45,0,0,0,0,
109,Dayside_Nadir,2018 APR 02 07:53:25,0,0,0,0,
110,Dayside_Nadir,2018 APR 02 09:55:13,0,0,0,0,
111,Dayside_Nadir,2018 APR 02 11:56:59,0,0,0,0,
112,Dayside_Nadir,2018 APR 02 13:58:45,0,0,0,0,
113,Dayside_Nadir,2018 APR 02 16:00:27,0,0,0,0,
114,Dayside_Nadir,2018 APR 02 17:52:09,1,1,1934,1934,
115,Dayside_Nadir,2018 APR 02 19:53:49,1,1,1107,1107,
116,Dayside_Nadir,2018 APR 02 21:55:35,1,1,2318,2318,
117,Dayside_Nadir,2018 APR 02 23:57:21,1,1,144,144,
118,Dayside_Nadir,2018 APR 03 01:59:07,1,1,1090,1090,
119,Dayside_Nadir,2018 APR 03 04:00:51,1,1,2639,2639,
120,Dayside_Nadir,2018 APR 03 06:02:29,1,1,140,140,
