Orbit Index	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
11	2018 DEC 02 09:40:15	2018 DEC 02 10:09:59	2018 DEC 02 10:39:43	3568.9	52.4	105.3	-142.2	-10.1	70.7	9.9	128.7	22.3	1	-	-	-		
11	2018 DEC 02 10:39:43	2018 DEC 02 11:08:58	2018 DEC 02 11:38:13	3510.0	-142.2	-89.3	23.5	9.9	-70.6	-9.7	51.3	10.3	1	CO 2SUBD 02	Science: orders #167, #189, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 91: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 30222 ms, Binning=0		
12	2018 DEC 02 11:38:13	2018 DEC 02 12:07:58	2018 DEC 02 12:37:43	3569.8	23.5	77.5	-171.0	-9.7	70.9	9.5	128.7	22.3	4	-	-	-		
12	2018 DEC 02 12:37:43	2018 DEC 02 13:06:59	2018 DEC 02 13:36:15	3512.2	-171.0	-117.1	-5.4	9.5	-70.8	-9.3	51.3	10.3	4	-		3x COP rows 82: NADIR: Full Frame (57:240;0:1047),Tint = 10000 ms,16 bit,Rhythm = 20148 ms, Binning=0		
13	2018 DEC 02 13:36:15	2018 DEC 02 14:06:00	2018 DEC 02 14:35:45	3569.5	-5.4	49.7	160.1	-9.3	71.1	9.1	128.7	22.4	3	-	-	-		
13	2018 DEC 02 14:35:45	2018 DEC 02 15:05:01	2018 DEC 02 15:34:17	3512.1	160.1	-144.9	-34.2	9.1	-71.1	-8.9	51.4	10.4	3	Nominal 6SUBD 01	Science: orders #149, #134, #168, #119, #190, #196, with 220000us integration time (6 orders per 15 second(s) for detector lines 80 to 224)	COP row 91: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 30222 ms, Binning=0		
14	2018 DEC 02 15:34:17	2018 DEC 02 16:04:02	2018 DEC 02 16:33:46	3569.4	-34.2	21.8	131.2	-8.9	71.3	8.7	128.6	22.5	4	-	-	-		
14	2018 DEC 02 16:33:46	2018 DEC 02 17:03:01	2018 DEC 02 17:32:16	3510.0	131.2	-172.7	-63.1	8.7	-71.3	-8.5	51.5	10.4	4	-		3x COP rows 91: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 30222 ms, Binning=0		
15	2018 DEC 02 17:32:16	2018 DEC 02 18:02:01	2018 DEC 02 18:31:46	3569.2	-63.1	-6.2	102.3	-8.5	71.5	8.3	128.5	22.5	1	-	-	-		
15	2018 DEC 02 18:31:46	2018 DEC 02 19:01:00	2018 DEC 02 19:30:14	3508.0	102.3	159.4	-92.0	8.3	-71.5	-8.1	51.6	10.5	1	CH4 2SUBD 02	Science: orders #134, #136, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 91: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 30222 ms, Binning=0		
16	2018 DEC 02 19:30:14	2018 DEC 02 19:59:58	2018 DEC 02 20:29:42	3568.0	-92.0	-34.1	73.5	-8.1	71.7	7.9	128.4	22.6	4	-	-	-		
16	2018 DEC 02 20:29:42	2018 DEC 02 20:58:56	2018 DEC 02 21:28:10	3507.9	73.5	131.5	-120.8	7.9	-71.7	-7.7	51.6	10.6	4	-		3x COP rows 82: NADIR: Full Frame (57:240;0:1047),Tint = 10000 ms,16 bit,Rhythm = 20148 ms, Binning=0		
17	2018 DEC 02 21:28:10	2018 DEC 02 21:57:53	2018 DEC 02 22:27:37	3567.5	-120.8	-61.9	44.6	-7.7	71.9	7.5	128.4	22.6	1	-	-	-		
17	2018 DEC 02 22:27:37	2018 DEC 02 22:56:52	2018 DEC 02 23:26:07	3510.2	44.6	103.9	-149.7	7.5	-71.9	-7.3	51.7	10.6	1	CO 2SUBD 02	Science: orders #167, #189, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 91: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 30222 ms, Binning=0		
18	2018 DEC 02 23:26:07	2018 DEC 02 23:55:52	2018 DEC 03 00:25:37	3569.9	-149.7	-89.5	15.8	-7.3	72.0	7.1	128.4	22.7	1	-	-	-		
18	2018 DEC 03 00:25:37	2018 DEC 03 00:54:53	2018 DEC 03 01:24:08	3510.9	15.8	76.3	-178.6	7.1	-72.0	-6.9	51.6	10.7	1	HDO H2O 2SUBD 01	Science: orders #121, #169, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 91: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 30222 ms, Binning=0		
19	2018 DEC 03 01:24:08	2018 DEC 03 01:53:54	2018 DEC 03 02:23:39	3571.5	-178.6	-117.1	-13.1	-6.9	72.1	6.7	128.3	22.8	4	-	-	-		
19	2018 DEC 03 02:23:39	2018 DEC 03 02:52:55	2018 DEC 03 03:22:10	3510.8	-13.1	48.5	152.6	6.7	-72.2	-6.4	51.7	10.8	4	-		3x COP rows 91: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 30222 ms, Binning=0		
20	2018 DEC 03 03:22:10	2018 DEC 03 03:51:56	2018 DEC 03 04:21:41	3571.1	152.6	-144.7	-42.0	-6.4	72.3	6.2	128.3	22.8	3	-	-	-		
20	2018 DEC 03 04:21:41	2018 DEC 03 04:50:57	2018 DEC 03 05:20:12	3510.7	-42.0	20.7	123.7	6.2	-72.3	-6.0	51.7	10.8	3	H2O 2SUBD 01	Science: orders #167, #169, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 78: NADIR: Full Frame (57:240;0:1047),Tint = 7000 ms,16 bit,Rhythm = 20148 ms, Binning=0		
21	2018 DEC 03 05:20:12	2018 DEC 03 05:49:56	2018 DEC 03 06:19:41	3568.9	123.7	-172.4	-70.9	-6.0	72.5	5.8	128.2	22.9	4	-	-	-		
21	2018 DEC 03 06:19:41	2018 DEC 03 06:48:56	2018 DEC 03 07:18:11	3509.8	-70.9	-7.0	94.8	5.8	-72.5	-5.6	51.8	10.9	4	-		3x COP rows 91: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 30222 ms, Binning=0		
22	2018 DEC 03 07:18:11	2018 DEC 03 07:47:54	2018 DEC 03 08:17:38	3567.2	94.8	159.9	-99.7	-5.6	72.7	5.4	128.1	23.0	1	-	-	-		
22	2018 DEC 03 08:17:38	2018 DEC 03 08:46:52	2018 DEC 03 09:16:06	3508.0	-99.7	-34.7	66.0	5.4	-72.7	-5.2	51.9	11.0	1	HDO H2O 2SUBD 01	Science: orders #121, #169, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 91: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 30222 ms, Binning=0	ingressMatch:NILI FOSSAE FAULT; ingressMatch:NILI FOSSAE FAULT; 	
23	2018 DEC 03 09:16:06	2018 DEC 03 09:45:50	2018 DEC 03 10:15:34	3568.4	66.0	132.2	-128.6	-5.2	72.8	5.0	128.1	23.0	4	-	-	-		
23	2018 DEC 03 10:15:34	2018 DEC 03 10:44:48	2018 DEC 03 11:14:02	3508.1	-128.6	-62.2	37.1	5.0	-72.8	-4.8	51.9	11.0	4	-		3x COP rows 91: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 30222 ms, Binning=0		
24	2018 DEC 03 11:14:02	2018 DEC 03 11:43:48	2018 DEC 03 12:13:33	3570.7	37.1	104.6	-157.4	-4.8	72.9	4.6	128.1	23.1	1	-	-	-		
24	2018 DEC 03 12:13:33	2018 DEC 03 12:42:48	2018 DEC 03 13:12:04	3510.6	-157.4	-89.7	8.3	4.6	-72.9	-4.4	51.9	11.1	1	HDO CO 3SUBD 01	Science: orders #167, #121, #190, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 17: NADIR: Full Frame (47:240;0:1047),Tint = 15000 ms,16 bit,Rhythm = 17070 ms, Binning=0		
25	2018 DEC 03 13:12:04	2018 DEC 03 13:41:49	2018 DEC 03 14:11:34	3570.6	8.3	77.0	173.7	-4.4	73.0	4.2	128.1	23.2	17	-	-	COP row 17: NADIR: Full Frame (47:240;0:1047),Tint = 15000 ms,16 bit,Rhythm = 17070 ms, Binning=0		
25	2018 DEC 03 14:11:34	2018 DEC 03 14:40:50	2018 DEC 03 15:10:06	3511.7	173.7	-117.2	-20.6	4.2	-73.0	-4.0	51.9	11.2	17	-		COP row 17: NADIR: Full Frame (47:240;0:1047),Tint = 15000 ms,16 bit,Rhythm = 17070 ms, Binning=0		
26	2018 DEC 03 15:10:06	2018 DEC 03 15:39:51	2018 DEC 03 16:09:36	3570.3	-20.6	49.5	144.8	-4.0	73.1	3.7	128.1	23.3	17	-	-	COP row 17: NADIR: Full Frame (47:240;0:1047),Tint = 15000 ms,16 bit,Rhythm = 17070 ms, Binning=0		
26	2018 DEC 03 16:09:36	2018 DEC 03 16:38:52	2018 DEC 03 17:08:07	3510.5	144.8	-144.6	-49.5	3.7	-73.1	-3.5	52.0	11.3	17	-		COP row 17: NADIR: Full Frame (47:240;0:1047),Tint = 15000 ms,16 bit,Rhythm = 17070 ms, Binning=0		
27	2018 DEC 03 17:08:07	2018 DEC 03 17:37:52	2018 DEC 03 18:07:37	3570.1	-49.5	21.9	115.9	-3.5	73.2	3.3	128.0	23.3	1	-	-	-		
27	2018 DEC 03 18:07:37	2018 DEC 03 18:36:51	2018 DEC 03 19:06:05	3508.2	115.9	-172.1	-78.4	3.3	-73.2	-3.1	52.0	11.4	1	AER H2Oi 3SUBD 01	Science: orders #169, #131, #127, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 91: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 30222 ms, Binning=0		
28	2018 DEC 03 19:06:05	2018 DEC 03 19:35:50	2018 DEC 03 20:05:35	3569.5	-78.4	-5.8	87.1	-3.1	73.3	2.9	127.9	23.4	4	-	-	-		
28	2018 DEC 03 20:05:35	2018 DEC 03 20:34:48	2018 DEC 03 21:04:02	3506.8	87.1	160.3	-107.2	2.9	-73.4	-2.7	52.1	11.4	4	-		3x COP rows 82: NADIR: Full Frame (57:240;0:1047),Tint = 10000 ms,16 bit,Rhythm = 20148 ms, Binning=0		
29	2018 DEC 03 21:04:02	2018 DEC 03 21:33:46	2018 DEC 03 22:03:30	3568.0	-107.2	-33.4	58.2	-2.7	73.4	2.5	127.9	23.5	1	-	-	-		
29	2018 DEC 03 22:03:30	2018 DEC 03 22:32:44	2018 DEC 03 23:01:58	3508.6	58.2	132.9	-136.1	2.5	-73.4	-2.3	52.1	11.5	1	CH4 2SUBD 02	Science: orders #134, #136, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 91: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 30222 ms, Binning=0		
30	2018 DEC 03 23:01:58	2018 DEC 03 23:31:43	2018 DEC 04 00:01:27	3569.0	-136.1	-60.9	29.4	-2.3	73.4	2.1	127.9	23.6	4	-	-	-		
30	2018 DEC 04 00:01:27	2018 DEC 04 00:30:42	2018 DEC 04 00:59:57	3510.3	29.4	105.5	-164.9	2.1	-73.4	-1.9	52.1	11.6	4	-		3x COP rows 91: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 30222 ms, Binning=0		
