UTC Time,Longitude,Latitude,Local Solar Time,Emission Angle,Phase Angle,Solar Angle,Distance (km)
2017 MAR 05 19:12:50,-99.8,-44.8,18:16:41,41.4,122.0,83.7,26774.4
2017 MAR 05 19:13:00,-99.4,-44.7,18:18:26,41.0,121.9,84.0,26766.1
2017 MAR 05 19:13:10,-99.0,-44.6,18:20:13,40.7,121.9,84.4,26757.9
2017 MAR 05 19:13:20,-98.6,-44.4,18:22:01,40.3,121.8,84.7,26749.7
2017 MAR 05 19:13:30,-98.1,-44.3,18:23:51,39.9,121.8,85.1,26741.5
2017 MAR 05 19:13:40,-97.7,-44.1,18:25:41,39.5,121.8,85.4,26733.2
2017 MAR 05 19:13:50,-97.3,-44.0,18:27:32,39.1,121.7,85.8,26725.0
2017 MAR 05 19:14:00,-96.9,-43.8,18:29:25,38.7,121.7,86.1,26716.7
2017 MAR 05 19:14:10,-96.4,-43.7,18:31:18,38.2,121.6,86.5,26708.5
2017 MAR 05 19:14:20,-96.0,-43.5,18:33:11,37.8,121.6,86.9,26700.2
2017 MAR 05 19:14:30,-95.6,-43.3,18:35:05,37.4,121.6,87.3,26692.0
2017 MAR 05 19:14:40,-95.1,-43.1,18:36:59,37.0,121.5,87.6,26683.7
2017 MAR 05 19:14:50,-94.7,-42.9,18:38:54,36.5,121.5,88.0,26675.4
2017 MAR 05 19:15:00,-94.3,-42.7,18:40:49,36.1,121.4,88.4,26667.2
2017 MAR 05 19:15:10,-93.8,-42.5,18:42:43,35.6,121.4,88.8,26658.9
2017 MAR 05 19:15:20,-93.4,-42.3,18:44:38,35.2,121.3,89.2,26650.6
2017 MAR 05 19:15:30,-93.0,-42.1,18:46:32,34.7,121.3,89.6,26642.3
2017 MAR 05 19:15:40,-92.5,-41.9,18:48:27,34.3,121.2,90.0,26634.0
2017 MAR 05 19:15:50,-92.1,-41.7,18:50:20,33.8,121.2,90.4,26625.7
2017 MAR 05 19:16:00,-91.7,-41.5,18:52:14,33.3,121.1,90.8,26617.4
2017 MAR 05 19:16:10,-91.2,-41.3,18:54:07,32.9,121.1,91.2,26609.1
2017 MAR 05 19:16:20,-90.8,-41.0,18:56:00,32.4,121.0,91.6,26600.8
2017 MAR 05 19:16:30,-90.4,-40.8,18:57:52,31.9,121.0,92.0,26592.5
2017 MAR 05 19:16:40,-89.9,-40.6,18:59:43,31.4,120.9,92.4,26584.2
2017 MAR 05 19:16:50,-89.5,-40.4,19:01:34,31.0,120.9,92.8,26575.9
2017 MAR 05 19:17:00,-89.1,-40.1,19:03:24,30.5,120.8,93.2,26567.5
2017 MAR 05 19:17:10,-88.7,-39.9,19:05:13,30.0,120.8,93.7,26559.2
2017 MAR 05 19:17:20,-88.3,-39.6,19:07:02,29.5,120.7,94.1,26550.9
2017 MAR 05 19:17:30,-87.9,-39.4,19:08:49,29.1,120.7,94.5,26542.5
2017 MAR 05 19:17:40,-87.5,-39.1,19:10:36,28.6,120.6,94.9,26534.2
2017 MAR 05 19:17:50,-87.1,-38.9,19:12:22,28.1,120.6,95.3,26525.8
2017 MAR 05 19:18:00,-86.7,-38.6,19:14:06,27.6,120.5,95.7,26517.5
2017 MAR 05 19:18:10,-86.3,-38.4,19:15:50,27.1,120.5,96.1,26509.1
2017 MAR 05 19:18:20,-85.9,-38.1,19:17:33,26.7,120.4,96.5,26500.8
2017 MAR 05 19:18:30,-85.5,-37.9,19:19:14,26.2,120.4,96.9,26492.4
2017 MAR 05 19:18:40,-85.1,-37.6,19:20:55,25.7,120.3,97.3,26484.0
2017 MAR 05 19:18:50,-84.8,-37.4,19:22:34,25.2,120.2,97.7,26475.6
2017 MAR 05 19:19:00,-84.4,-37.1,19:24:13,24.8,120.2,98.1,26467.3
2017 MAR 05 19:19:10,-84.0,-36.8,19:25:50,24.3,120.1,98.5,26458.9
2017 MAR 05 19:19:20,-83.7,-36.6,19:27:26,23.8,120.1,98.9,26450.5
2017 MAR 05 19:19:30,-83.3,-36.3,19:29:01,23.4,120.0,99.3,26442.1
2017 MAR 05 19:19:40,-83.0,-36.0,19:30:34,22.9,120.0,99.7,26433.7
2017 MAR 05 19:19:50,-82.6,-35.8,19:32:07,22.4,119.9,100.1,26425.3
2017 MAR 05 19:20:00,-82.3,-35.5,19:33:38,22.0,119.9,100.5,26416.9
2017 MAR 05 19:20:10,-81.9,-35.3,19:35:08,21.5,119.8,100.9,26408.5
2017 MAR 05 19:20:20,-81.6,-35.0,19:36:37,21.0,119.8,101.3,26400.0
2017 MAR 05 19:20:30,-81.3,-34.7,19:38:04,20.6,119.7,101.6,26391.6
2017 MAR 05 19:20:40,-81.0,-34.5,19:39:30,20.1,119.7,102.0,26383.2
2017 MAR 05 19:20:50,-80.7,-34.2,19:40:55,19.7,119.6,102.4,26374.8
2017 MAR 05 19:21:00,-80.4,-33.9,19:42:19,19.3,119.5,102.8,26366.3
2017 MAR 05 19:21:10,-80.1,-33.7,19:43:41,18.8,119.5,103.1,26357.9
2017 MAR 05 19:21:20,-79.8,-33.4,19:45:03,18.4,119.4,103.5,26349.4
2017 MAR 05 19:21:30,-79.5,-33.2,19:46:22,17.9,119.4,103.9,26341.0
2017 MAR 05 19:21:40,-79.2,-32.9,19:47:41,17.5,119.3,104.2,26332.5
2017 MAR 05 19:21:50,-78.9,-32.7,19:48:58,17.1,119.3,104.6,26324.1
2017 MAR 05 19:22:00,-78.6,-32.4,19:50:14,16.7,119.2,104.9,26315.6
UTC Time,Longitude,Latitude,Local Solar Time,Emission Angle,Phase Angle,Solar Angle,Distance (km)
2017 MAR 05 18:38:20,-140.6,-26.8,14:59:47,80.6,124.8,44.2,28381.6
2017 MAR 05 18:38:30,-136.1,-27.6,15:17:47,76.4,124.7,48.3,28374.3
2017 MAR 05 18:38:40,-132.7,-28.1,15:31:32,73.3,124.6,51.4,28366.9
2017 MAR 05 18:38:50,-129.9,-28.5,15:43:08,70.6,124.5,53.9,28359.6
2017 MAR 05 18:39:00,-127.4,-28.8,15:53:22,68.2,124.4,56.2,28352.3
2017 MAR 05 18:39:10,-125.1,-29.0,16:02:38,66.1,124.3,58.2,28344.9
2017 MAR 05 18:39:20,-123.0,-29.2,16:11:11,64.1,124.2,60.1,28337.6
2017 MAR 05 18:39:30,-121.0,-29.3,16:19:09,62.3,124.1,61.8,28330.2
2017 MAR 05 18:39:40,-119.2,-29.4,16:26:39,60.6,124.0,63.5,28322.9
2017 MAR 05 18:39:50,-117.5,-29.5,16:33:45,58.9,123.9,65.0,28315.5
2017 MAR 05 18:40:00,-115.8,-29.6,16:40:31,57.3,123.8,66.5,28308.1
2017 MAR 05 18:40:10,-114.3,-29.6,16:46:59,55.8,123.7,67.9,28300.8
2017 MAR 05 18:40:20,-112.7,-29.7,16:53:12,54.4,123.6,69.2,28293.4
2017 MAR 05 18:40:30,-111.3,-29.7,16:59:12,53.0,123.5,70.5,28286.0
2017 MAR 05 18:40:40,-109.9,-29.7,17:04:59,51.7,123.4,71.8,28278.6
2017 MAR 05 18:40:50,-108.5,-29.7,17:10:35,50.3,123.3,73.0,28271.2
2017 MAR 05 18:41:00,-107.2,-29.6,17:16:01,49.1,123.2,74.1,28263.8
2017 MAR 05 18:41:10,-105.9,-29.6,17:21:18,47.8,123.1,75.3,28256.4
