Instrument	Occultation Index	Occultation Type	UTC Start Time	UTC End Time	UTC Transition Time	Duration (s)	Tangent Centre Longitude	Tangent Centre Latitude	Tangent Centre Local Time (hrs)	
N/A	422	Grazing	2018 MAY 10 21:56:14	2018 MAY 10 22:12:13	-	959.0	26.7	-0.3	18.0	
N/A	423	Grazing	2018 MAY 10 23:54:49	2018 MAY 11 00:10:01	-	912.0	-2.1	1.6	18.0	
N/A	424	Grazing	2018 MAY 11 01:53:30	2018 MAY 11 02:07:37	-	847.0	-30.8	2.9	18.0	
N/A	425	Grazing	2018 MAY 11 03:52:21	2018 MAY 11 04:04:54	-	753.0	-59.5	4.3	18.0	
N/A	426	Grazing	2018 MAY 11 05:51:13	2018 MAY 11 06:02:03	-	650.0	-88.3	5.8	18.0	
N/A	427	Grazing	2018 MAY 11 07:49:57	2018 MAY 11 07:59:27	-	570.0	-117.0	7.4	18.0	
N/A	428	Grazing	2018 MAY 11 09:48:57	2018 MAY 11 09:56:41	-	464.0	-145.7	9.0	18.0	
N/A	429	Grazing	2018 MAY 11 11:48:36	2018 MAY 11 11:53:12	-	276.0	-174.5	11.0	18.0	
N/A	430	Grazing	2018 MAY 11 13:48:29	2018 MAY 11 13:49:30	-	61.0	156.8	12.4	18.0	
N/A	431	Grazing	2018 MAY 11 15:46:36	2018 MAY 11 15:47:37	-	61.0	128.1	13.7	18.0	
N/A	432	Grazing	2018 MAY 11 17:44:41	2018 MAY 11 17:45:42	-	61.0	99.4	15.1	18.0	
N/A	433	Grazing	2018 MAY 11 19:42:42	2018 MAY 11 19:43:43	-	61.0	70.6	16.7	18.1	
N/A	434	Grazing	2018 MAY 11 21:40:46	2018 MAY 11 21:41:47	-	61.0	41.9	18.8	18.1	
N/A	435	Grazing	2018 MAY 11 23:39:00	2018 MAY 11 23:40:01	-	61.0	13.2	20.8	18.1	
N/A	436	Grazing	2018 MAY 12 01:37:15	2018 MAY 12 01:38:16	-	61.0	-15.6	22.6	18.1	
N/A	437	Grazing	2018 MAY 12 03:35:25	2018 MAY 12 03:36:26	-	61.0	-44.4	25.0	18.1	
N/A	438	Grazing	2018 MAY 12 05:33:31	2018 MAY 12 05:34:32	-	61.0	-73.1	27.4	18.1	
N/A	439	Grazing	2018 MAY 12 07:31:38	2018 MAY 12 07:32:39	-	61.0	-101.8	29.5	18.1	
N/A	440	Grazing	2018 MAY 12 09:29:49	2018 MAY 12 09:30:50	-	61.0	-130.6	31.6	18.1	
N/A	441	Grazing	2018 MAY 12 11:28:00	2018 MAY 12 11:29:01	-	61.0	-159.3	34.1	18.1	
N/A	442	Grazing	2018 MAY 12 13:26:09	2018 MAY 12 13:27:10	-	61.0	172.0	36.5	18.1	
N/A	443	Grazing	2018 MAY 12 15:24:20	2018 MAY 12 15:25:21	-	61.0	143.2	38.9	18.1	
N/A	444	Grazing	2018 MAY 12 17:22:31	2018 MAY 12 17:23:32	-	61.0	114.5	40.8	18.1	
N/A	445	Grazing	2018 MAY 12 19:20:40	2018 MAY 12 19:21:41	-	61.0	85.8	43.3	18.1	
N/A	446	Grazing	2018 MAY 12 21:18:47	2018 MAY 12 21:19:48	-	61.0	57.2	47.0	18.2	
N/A	447	Grazing	2018 MAY 12 23:17:03	2018 MAY 12 23:18:04	-	61.0	28.5	51.1	18.2	
N/A	448	Grazing	2018 MAY 13 01:15:25	2018 MAY 13 01:16:26	-	61.0	-0.1	53.5	18.2	
N/A	449	Grazing	2018 MAY 13 03:13:44	2018 MAY 13 03:14:45	-	61.0	-28.6	57.9	18.2	
N/A	450	Grazing	2018 MAY 15 12:24:41	2018 MAY 15 12:25:42	-	61.0	22.4	80.6	5.3	
N/A	451	Grazing	2018 MAY 15 14:22:55	2018 MAY 15 14:23:56	-	61.0	-7.0	81.3	5.3	
N/A	452	Grazing	2018 MAY 15 16:21:10	2018 MAY 15 16:22:11	-	61.0	-37.3	82.5	5.1	
N/A	453	Grazing	2018 MAY 15 18:19:22	2018 MAY 15 18:20:23	-	61.0	-69.6	84.3	4.9	
N/A	454	Grazing	2018 MAY 15 20:17:35	2018 MAY 15 20:18:36	-	61.0	-104.5	85.8	4.5	
N/A	455	Grazing	2018 MAY 15 22:15:50	2018 MAY 15 22:16:51	-	61.0	-132.9	85.8	4.5	
N/A	456	Grazing	2018 MAY 16 00:14:03	2018 MAY 16 00:15:04	-	61.0	-161.4	85.9	4.5	
N/A	457	Grazing	2018 MAY 16 02:12:14	2018 MAY 16 02:13:15	-	61.0	155.3	87.4	3.5	
N/A	458	Grazing	2018 MAY 16 04:10:28	2018 MAY 16 04:11:29	-	61.0	113.2	88.0	2.6	
N/A	459	Grazing	2018 MAY 16 06:08:48	2018 MAY 16 06:09:49	-	61.0	90.7	87.8	3.0	
N/A	460	Grazing	2018 MAY 16 08:07:03	2018 MAY 16 08:08:04	-	61.0	69.0	87.5	3.5	
N/A	461	Grazing	2018 MAY 16 10:05:09	2018 MAY 16 10:06:10	-	61.0	20.7	88.2	2.2	
N/A	462	Grazing	2018 MAY 16 12:03:14	2018 MAY 16 12:04:15	-	61.0	-24.3	88.5	1.1	
N/A	463	Grazing	2018 MAY 16 14:01:22	2018 MAY 16 14:02:23	-	61.0	-58.2	88.5	0.7	
N/A	464	Grazing	2018 MAY 16 15:59:31	2018 MAY 16 16:00:32	-	61.0	-75.9	88.5	1.5	
N/A	465	Grazing	2018 MAY 16 17:57:39	2018 MAY 16 17:58:40	-	61.0	-132.4	88.6	23.6	
N/A	466	Grazing	2018 MAY 16 19:55:45	2018 MAY 16 19:56:46	-	61.0	175.3	88.4	22.0	
N/A	467	Grazing	2018 MAY 16 21:53:52	2018 MAY 16 21:54:53	-	61.0	146.0	88.4	22.0	
N/A	468	Grazing	2018 MAY 16 23:51:59	2018 MAY 16 23:53:00	-	61.0	136.7	88.6	23.3	
N/A	469	Grazing	2018 MAY 17 01:50:03	2018 MAY 17 01:51:04	-	61.0	84.4	88.4	21.7	
