Obs Index	Obs Type Index	Orbit No	Obs Type	IR Status	UVIS Status	TC Start Time	UVIS Start Time	UVIS End Time	IR Precooling Time	IR Start Time	 IR Transition Time	IR End Time	New TC Start Time	New UVIS Start Time	New UVIS End Time	New IR Precooling Time	New IR Start Time	New IR End Time	IR Duration	UVIS Duration	New IR duration	New UVIS Duration	TC20 FIXED	TC20 SCI1	TC20 SCI2	SCI1 description	SCI2 description	
352	149	149	Dayside_Nadir	OFF	UVIS_2	2018 MAY 03 23:26:19	2018 MAY 03 23:26:29	2018 MAY 04 00:29:19	-	-	-	-	Same	Same	2018 MAY 04 00:24:51	-	-	-	-	3770.0	-	3502.000000357628	-	-	-	-	-	
353	149	149	Dayside_Nadir	OFF	UVIS_3	2018 MAY 03 23:26:19	2018 MAY 03 23:26:29	2018 MAY 04 00:29:19	-	-	-	-	Same	Same	2018 MAY 04 00:24:51	-	-	-	-	3770.0	-	3502.000000357628	-	-	-	-	-	
354	300	150	Ingress	SO_O	UVIS_O	2018 MAY 04 00:24:56	2018 MAY 04 00:35:06	2018 MAY 04 00:42:52	2018 MAY 04 00:25:06	2018 MAY 04 00:35:06	2018 MAY 04 00:41:09	2018 MAY 04 00:42:52	Same	Same	Same	Same	Same	Same	466.0	466.0	466.0	466.0	1	1175	1175	Science: orders #167, #188, #189, #190, #191, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	-	
355	301	150	Egress	SO_O	UVIS_O	2018 MAY 04 00:59:22	2018 MAY 04 01:09:32	2018 MAY 04 01:16:53	2018 MAY 04 00:59:32	2018 MAY 04 01:09:32	2018 MAY 04 01:11:13	2018 MAY 04 01:16:53	Same	Same	Same	Same	Same	Same	441.0	441.0	441.0	441.0	1	1175	1175	Science: orders #167, #188, #189, #190, #191, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	-	
356	150	150	Dayside_Nadir	LNO_M	UVIS_L	2018 MAY 04 01:24:15	2018 MAY 04 01:24:25	2018 MAY 04 02:27:13	2018 MAY 04 01:24:25	2018 MAY 04 01:34:25	-	2018 MAY 04 02:14:25	Same	Same	Same	2018 MAY 04 01:28:23	2018 MAY 04 01:38:23	2018 MAY 04 02:13:16	2400.0	3768.0	2093.0	3768.0	1	140	140	Diffraction order stepping (fullscan): 30 orders from 110 to 140 in steps of 1 (1 order(s) per 15 second(s))	-	
357	151	151	Dayside_Nadir	OFF	UVIS_1	2018 MAY 04 03:22:07	2018 MAY 04 03:22:17	2018 MAY 04 04:25:05	-	-	-	-	Same	Same	2018 MAY 04 04:20:39	-	-	-	-	3768.0	-	3502.000000357628	-	-	-	-	-	
358	151	151	Dayside_Nadir	OFF	UVIS_2	2018 MAY 04 03:22:07	2018 MAY 04 03:22:17	2018 MAY 04 04:25:05	-	-	-	-	Same	Same	2018 MAY 04 04:20:39	-	-	-	-	3768.0	-	3502.000000357628	-	-	-	-	-	
359	151	151	Dayside_Nadir	OFF	UVIS_3	2018 MAY 04 03:22:07	2018 MAY 04 03:22:17	2018 MAY 04 04:25:05	-	-	-	-	Same	Same	2018 MAY 04 04:20:39	-	-	-	-	3768.0	-	3502.000000357628	-	-	-	-	-	
360	304	152	Ingress	SO_O	UVIS_O	2018 MAY 04 04:20:44	2018 MAY 04 04:30:54	2018 MAY 04 04:38:49	2018 MAY 04 04:20:54	2018 MAY 04 04:30:54	2018 MAY 04 04:37:04	2018 MAY 04 04:38:49	Same	Same	Same	Same	Same	Same	475.0	475.0	475.0	475.0	1	1453	1452	Science: orders #168, #134, #190, #121, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	
361	305	152	Egress	SO_O	UVIS_O	2018 MAY 04 04:54:52	2018 MAY 04 05:05:02	2018 MAY 04 05:12:30	2018 MAY 04 04:55:02	2018 MAY 04 05:05:02	2018 MAY 04 05:06:44	2018 MAY 04 05:12:30	Same	Same	Same	Same	Same	Same	448.0	448.0	448.0	448.0	1	1452	1453	Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	Science: orders #168, #134, #190, #121, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	
