Instrument	Occultation Index	Occultation Type	UTC Start Time	UTC End Time	UTC Transition Time	Duration (s)	Tangent Centre Longitude	Tangent Centre Latitude	Tangent Centre Local Time (hrs)	
NOMAD	374	Ingress	2019 MAR 10 22:21:10	2019 MAR 10 22:30:18	2019 MAR 10 22:28:15	548.0	90.6	-35.5	18.1	
NOMAD	375	Egress	2019 MAR 10 22:52:11	2019 MAR 10 23:00:56	2019 MAR 10 22:54:12	525.0	71.4	73.4	17.4	
N/A	376	Ingress	2019 MAR 11 00:19:05	2019 MAR 11 00:28:21	2019 MAR 11 00:26:16	556.0	61.9	-35.5	18.1	
ACS	377	Egress	2019 MAR 11 00:49:53	2019 MAR 11 00:58:44	2019 MAR 11 00:51:56	531.0	43.1	73.0	17.4	
N/A	378	Ingress	2019 MAR 11 02:17:01	2019 MAR 11 02:26:24	2019 MAR 11 02:24:17	563.0	33.1	-34.8	18.1	
N/A	379	Egress	2019 MAR 11 02:47:34	2019 MAR 11 02:56:31	2019 MAR 11 02:49:39	537.0	14.7	72.5	17.4	
NOMAD	380	Ingress	2019 MAR 11 04:15:05	2019 MAR 11 04:24:32	2019 MAR 11 04:22:24	567.0	4.3	-34.3	18.1	
NOMAD	381	Egress	2019 MAR 11 04:45:22	2019 MAR 11 04:54:25	2019 MAR 11 04:47:28	543.0	-13.8	72.2	17.4	
N/A	382	Ingress	2019 MAR 11 06:13:11	2019 MAR 11 06:22:43	2019 MAR 11 06:20:33	572.0	-24.5	-33.5	18.1	
ACS	383	Egress	2019 MAR 11 06:43:11	2019 MAR 11 06:52:21	2019 MAR 11 06:45:20	550.0	-42.2	71.9	17.5	
NOMAD	384	Ingress	2019 MAR 11 08:11:14	2019 MAR 11 08:20:55	2019 MAR 11 08:18:42	581.0	-53.2	-33.1	18.1	
NOMAD	385	Egress	2019 MAR 11 08:40:56	2019 MAR 11 08:50:14	2019 MAR 11 08:43:07	558.0	-70.5	71.3	17.5	
NOMAD	386	Ingress	2019 MAR 11 10:09:15	2019 MAR 11 10:19:04	2019 MAR 11 10:16:49	589.0	-82.0	-32.7	18.1	
NOMAD	387	Egress	2019 MAR 11 10:38:37	2019 MAR 11 10:48:04	2019 MAR 11 10:40:50	567.0	-98.8	70.6	17.5	
N/A	388	Ingress	2019 MAR 11 12:07:12	2019 MAR 11 12:17:10	2019 MAR 11 12:14:53	598.0	-110.7	-32.6	18.1	
